date,mean,Ward_No
7/17/2018,-0.795615313,27
7/17/2018,-0.805837785,26
7/17/2018,-0.802111617,25
7/17/2018,-0.499171231,24
7/17/2018,-0.750465318,23
7/17/2018,-0.801879608,22
7/17/2018,-0.782315327,21
7/17/2018,-0.74317671,20
7/17/2018,-0.726623819,19
7/17/2018,-0.518862184,18
7/17/2018,-0.706657165,17
7/17/2018,-0.793131531,16
7/17/2018,-0.797754309,15
7/17/2018,-0.761611459,14
7/17/2018,-0.792880981,13
7/17/2018,-0.528638882,12
7/17/2018,-0.548336073,11
7/17/2018,-0.683714848,10
7/17/2018,-0.571140478,09
7/17/2018,-1.016010217,08
7/17/2018,-0.888442818,07
7/17/2018,-0.793805501,06
7/17/2018,-0.937600787,05
7/17/2018,-0.858100213,04
7/17/2018,-0.855698462,03
7/17/2018,-0.782176537,02
7/17/2018,-0.888630698,01
7/19/2018,-0.819996669,48
7/19/2018,-0.858529207,47
7/19/2018,-0.773493424,46
7/19/2018,-0.66406259,45
7/19/2018,-0.587402426,44
7/19/2018,-0.58327812,43
7/19/2018,-0.583360693,42
7/19/2018,-0.581893101,41
7/19/2018,-0.525438996,40
7/19/2018,-0.58327812,39
7/19/2018,-0.584407917,38
7/19/2018,-0.631904514,37
7/19/2018,-0.670227468,36
7/19/2018,-0.670087478,35
7/19/2018,-0.608939822,34
7/19/2018,-0.447347456,33
7/19/2018,-0.455407909,32
7/19/2018,-0.664966481,31
7/19/2018,-0.616267409,30
7/19/2018,-0.505435928,29
7/19/2018,-0.624303662,28
7/19/2018,-0.573387981,27
7/19/2018,-0.583129191,26
7/19/2018,-0.577795277,25
7/19/2018,-0.446570832,24
7/19/2018,-0.489067514,23
7/19/2018,-0.410599137,22
7/19/2018,-0.263786073,21
7/19/2018,-0.263632334,20
7/19/2018,-0.222062294,19
7/19/2018,-0.02939756,18
7/19/2018,-0.037124928,17
7/19/2018,-0.184552016,16
7/19/2018,-0.214580271,15
7/19/2018,-0.194968848,14
7/19/2018,-0.259755281,13
7/19/2018,-0.434643997,12
7/19/2018,-0.329277176,11
7/19/2018,-0.003188438,10
7/19/2018,0.028614754,09
7/19/2018,-0.347521056,08
7/19/2018,0.028130676,07
7/19/2018,0.027209603,06
7/19/2018,-0.275676422,05
7/19/2018,-0.308172082,04
7/19/2018,-1.127842806,03
7/19/2018,-0.640960676,02
7/19/2018,-0.608744513,01
7/20/2018,-1.247779125,48
7/20/2018,-1.207517885,47
7/20/2018,-1.236680969,46
7/20/2018,-1.245581269,45
7/20/2018,-1.289887718,44
7/20/2018,-1.313064759,43
7/20/2018,-1.315065265,42
7/20/2018,-1.315065265,41
7/20/2018,-1.31588932,40
7/20/2018,-1.313858842,39
7/20/2018,-1.304269584,38
7/20/2018,-1.232610986,37
7/20/2018,-1.212891144,36
7/20/2018,-1.214177463,35
7/20/2018,-1.213986205,34
7/20/2018,-1.143607374,33
7/20/2018,-1.149344444,32
7/20/2018,-1.152501259,31
7/20/2018,-1.149344444,30
7/20/2018,-1.149344444,29
7/20/2018,-1.155984519,28
7/20/2018,-1.323725404,27
7/20/2018,-1.32740249,26
7/20/2018,-1.322165899,25
7/20/2018,-1.324605799,24
7/20/2018,-1.327742219,23
7/20/2018,-1.326663513,22
7/20/2018,-1.16364635,21
7/20/2018,-1.15161141,20
7/20/2018,-1.222938236,19
7/20/2018,-1.149514663,18
7/20/2018,-1.154726908,17
7/20/2018,-1.280778084,16
7/20/2018,-1.324049082,15
7/20/2018,-1.327742219,14
7/20/2018,-1.327742219,13
7/20/2018,-1.327741814,12
7/20/2018,-1.32753473,11
7/20/2018,-1.189693106,10
7/20/2018,-1.235658747,09
7/20/2018,-1.303946969,08
7/20/2018,-1.305834338,07
7/20/2018,-1.267356039,06
7/20/2018,-1.304890952,05
7/20/2018,-1.322617518,04
7/20/2018,-1.323895429,03
7/20/2018,-1.311551032,02
7/20/2018,-1.315902126,01
7/21/2018,-0.439796211,48
7/21/2018,-0.234762871,47
7/21/2018,-0.145796541,46
7/21/2018,-0.101999004,45
7/21/2018,-0.301456582,44
7/21/2018,-0.442186784,43
7/21/2018,-0.464256174,42
7/21/2018,-0.462834511,41
7/21/2018,-0.488687634,40
7/21/2018,-0.4623928,39
7/21/2018,-0.40627833,38
7/21/2018,-0.217966141,37
7/21/2018,-0.192120755,36
7/21/2018,-0.145015049,35
7/21/2018,-0.018298354,34
7/21/2018,-0.039503373,33
7/21/2018,-0.218648992,32
7/21/2018,-0.206694605,31
7/21/2018,-0.266481726,30
7/21/2018,-0.266521156,29
7/21/2018,-0.266542886,28
7/21/2018,-0.438064941,27
7/21/2018,-0.488687634,26
7/21/2018,-0.488687634,25
7/21/2018,-0.493078567,24
7/21/2018,-0.490828138,23
7/21/2018,-0.461881957,22
7/21/2018,-0.266521156,21
7/21/2018,-0.177500437,20
7/21/2018,-0.184098065,19
7/21/2018,-0.266525444,18
7/21/2018,-0.287404527,17
7/21/2018,-0.335186712,16
7/21/2018,-0.442707523,15
7/21/2018,-0.513158924,14
7/21/2018,-0.502517733,13
7/21/2018,-0.509217299,12
7/21/2018,-0.515955903,11
7/21/2018,-0.398890816,10
7/21/2018,-0.388487168,09
7/21/2018,-0.417911039,08
7/21/2018,-0.510366945,07
7/21/2018,-0.483345137,06
7/21/2018,-0.51036936,05
7/21/2018,-0.511965036,04
7/21/2018,-0.568356809,03
7/21/2018,-0.55449223,02
7/21/2018,-0.551603766,01
7/22/2018,-0.386290687,48
7/22/2018,-0.398281628,47
7/22/2018,-0.43041437,46
7/22/2018,-0.397644039,45
7/22/2018,-0.357932323,44
7/22/2018,-0.366567662,43
7/22/2018,-0.35362884,42
7/22/2018,-0.367052056,41
7/22/2018,-0.313979602,40
7/22/2018,-0.317253252,39
7/22/2018,-0.289941986,38
7/22/2018,-0.364451127,37
7/22/2018,-0.375387145,36
7/22/2018,-0.398747937,35
7/22/2018,-0.459060134,34
7/22/2018,-0.407525526,33
7/22/2018,-0.315648122,32
7/22/2018,-0.381166274,31
7/22/2018,-0.313318488,30
7/22/2018,-0.307055838,29
7/22/2018,-0.303893389,28
7/22/2018,-0.28993461,27
7/22/2018,-0.289534122,26
7/22/2018,-0.301880018,25
7/22/2018,-0.31700201,24
7/22/2018,-0.314083169,23
7/22/2018,-0.289792224,22
7/22/2018,-0.304069595,21
7/22/2018,-0.312298056,20
7/22/2018,-0.312135474,19
7/22/2018,-0.307596221,18
7/22/2018,-0.306528163,17
7/22/2018,-0.293356224,16
7/22/2018,-0.289890804,15
7/22/2018,-0.258364796,14
7/22/2018,-0.289203246,13
7/22/2018,-0.250156623,12
7/22/2018,-0.192484855,11
7/22/2018,-0.275675457,10
7/22/2018,-0.280041253,09
7/22/2018,-0.222548843,08
7/22/2018,-0.169110576,07
7/22/2018,-0.212612653,06
7/22/2018,-0.173999304,05
7/22/2018,-0.19224573,04
7/22/2018,-0.186200729,03
7/22/2018,-0.1486351,02
7/22/2018,-0.110169173,01
7/23/2018,0.061789363,48
7/23/2018,-0.024592929,47
7/23/2018,0.147617068,46
7/23/2018,-0.094436174,45
7/23/2018,-0.046040896,44
7/23/2018,0.09056915,43
7/23/2018,0.242188679,42
7/23/2018,0.257415674,41
7/23/2018,0.376916269,40
7/23/2018,0.200888363,39
7/23/2018,0.385439799,38
7/23/2018,-0.044524486,37
7/23/2018,-0.020855161,36
7/23/2018,-0.026981216,35
7/23/2018,0.176503574,34
7/23/2018,0.176932432,33
7/23/2018,0.139598121,32
7/23/2018,0.098487267,31
7/23/2018,0.144267117,30
7/23/2018,0.271552887,29
7/23/2018,0.457482357,28
7/23/2018,0.466521824,27
7/23/2018,0.455767632,26
7/23/2018,0.454386067,25
7/23/2018,0.52607491,24
7/23/2018,0.498251249,23
7/23/2018,0.460004917,22
7/23/2018,0.461726197,21
7/23/2018,0.159691508,20
7/23/2018,0.161914973,19
7/23/2018,0.15519151,18
7/23/2018,0.394771498,17
7/23/2018,0.473936644,16
7/23/2018,0.4630118,15
7/23/2018,0.475803032,14
7/23/2018,0.476781015,13
7/23/2018,0.571511542,12
7/23/2018,1.011441633,11
7/23/2018,0.378674,10
7/23/2018,0.327806808,09
7/23/2018,0.701278996,08
7/23/2018,1.1104464,07
7/23/2018,0.820549868,06
7/23/2018,1.109096732,05
7/23/2018,1.054571439,04
7/23/2018,1.134293738,03
7/23/2018,1.229354859,02
7/23/2018,1.198352954,01
7/24/2018,-0.857322462,48
7/24/2018,-0.887638709,47
7/24/2018,-0.761743693,46
7/24/2018,-0.871450978,45
7/24/2018,-0.776531771,44
7/24/2018,-0.792468594,43
7/24/2018,-0.765792451,42
7/24/2018,-0.690174561,41
7/24/2018,-0.601721667,40
7/24/2018,-0.666222821,39
7/24/2018,-0.648826702,38
7/24/2018,-0.706442247,37
7/24/2018,-0.68911024,36
7/24/2018,-0.688360751,35
7/24/2018,-0.602250156,34
7/24/2018,-0.593858135,33
7/24/2018,-0.593316998,32
7/24/2018,-0.594408118,31
7/24/2018,-0.622731146,30
7/24/2018,-0.636081934,29
7/24/2018,-0.636209262,28
7/24/2018,-0.652106186,27
7/24/2018,-0.655805111,26
7/24/2018,-0.655677543,25
7/24/2018,-0.48585784,24
7/24/2018,-0.626215134,23
7/24/2018,-0.654050288,22
7/24/2018,-0.636081934,21
7/24/2018,-0.595128773,20
7/24/2018,-0.611765489,19
7/24/2018,-0.615847508,18
7/24/2018,-0.637715697,17
7/24/2018,-0.644383975,16
7/24/2018,-0.653148515,15
7/24/2018,-0.670133072,14
7/24/2018,-0.652916513,13
7/24/2018,-0.561049609,12
7/24/2018,-0.732418758,11
7/24/2018,-0.644864732,10
7/24/2018,-0.642483622,09
7/24/2018,-0.626976357,08
7/24/2018,-0.638966643,07
7/24/2018,-0.6489822,06
7/24/2018,-0.649413973,05
7/24/2018,-0.701927958,04
7/24/2018,-0.715902946,03
7/24/2018,-0.730641454,02
7/24/2018,-0.710669055,01
7/25/2018,-1.04142107,48
7/25/2018,-1.043987,47
7/25/2018,-1.061017455,46
7/25/2018,-1.069605053,45
7/25/2018,-1.150796528,44
7/25/2018,-1.073996589,43
7/25/2018,-1.112772367,42
7/25/2018,-1.091465524,41
7/25/2018,-1.237929155,40
7/25/2018,-1.258706836,39
7/25/2018,-1.272408132,38
7/25/2018,-1.227961904,37
7/25/2018,-1.253253324,36
7/25/2018,-1.238483575,35
7/25/2018,-1.059744008,34
7/25/2018,-1.073137536,33
7/25/2018,-1.149527764,32
7/25/2018,-1.268318451,31
7/25/2018,-1.272369742,30
7/25/2018,-1.272369742,29
7/25/2018,-1.272369742,28
7/25/2018,-1.27240335,27
7/25/2018,-1.278502344,26
7/25/2018,-1.283796066,25
7/25/2018,-1.282512099,24
7/25/2018,-1.28560841,23
7/25/2018,-1.277582224,22
7/25/2018,-1.272369742,21
7/25/2018,-1.106772053,20
7/25/2018,-1.042435251,19
7/25/2018,-1.219589847,18
7/25/2018,-1.200133166,17
7/25/2018,-1.233796557,16
7/25/2018,-1.273534012,15
7/25/2018,-1.223998422,14
7/25/2018,-1.281191476,13
7/25/2018,-1.233023552,12
7/25/2018,-0.95856734,11
7/25/2018,-1.005198232,10
7/25/2018,-0.941369483,09
7/25/2018,-1.066301264,08
7/25/2018,-0.939863086,07
7/25/2018,-0.942949048,06
7/25/2018,-0.939863086,05
7/25/2018,-0.937647666,04
7/25/2018,-0.90821331,03
7/25/2018,-0.779266547,02
7/25/2018,-0.7941073,01
7/26/2018,1.270774525,48
7/26/2018,1.256124022,47
7/26/2018,1.411530212,46
7/26/2018,1.322602084,45
7/26/2018,1.328422427,44
7/26/2018,1.328422427,43
7/26/2018,1.328422427,42
7/26/2018,1.3283772,41
7/26/2018,1.27017079,40
7/26/2018,1.328422427,39
7/26/2018,1.301691672,38
7/26/2018,1.328039057,37
7/26/2018,1.312712052,36
7/26/2018,1.3094823,35
7/26/2018,1.412046214,34
7/26/2018,1.329433896,33
7/26/2018,1.309432864,32
7/26/2018,1.309432864,31
7/26/2018,1.309695034,30
7/26/2018,1.306347588,29
7/26/2018,1.278405816,28
7/26/2018,1.192373642,27
7/26/2018,1.16331704,26
7/26/2018,1.199119966,25
7/26/2018,1.127981898,24
7/26/2018,1.120838881,23
7/26/2018,1.120838881,22
7/26/2018,1.189096165,21
7/26/2018,1.313118853,20
7/26/2018,1.319366186,19
7/26/2018,1.317003539,18
7/26/2018,1.219405541,17
7/26/2018,1.124676996,16
7/26/2018,1.120838881,15
7/26/2018,1.120823302,14
7/26/2018,1.120838875,13
7/26/2018,1.113996854,12
7/26/2018,1.113298009,11
7/26/2018,1.278903902,10
7/26/2018,1.320388556,09
7/26/2018,1.339693854,08
7/26/2018,1.320371131,07
7/26/2018,1.318886084,06
7/26/2018,1.246126941,05
7/26/2018,1.111515828,04
7/26/2018,1.120884211,03
7/26/2018,1.277294311,02
7/26/2018,1.287436731,01
7/27/2018,0.904685362,48
7/27/2018,0.562916401,47
7/27/2018,0.779295961,46
7/27/2018,1.024665975,45
7/27/2018,1.115778107,44
7/27/2018,1.126303732,43
7/27/2018,1.137134893,42
7/27/2018,1.157363188,41
7/27/2018,1.156996725,40
7/27/2018,1.127704645,39
7/27/2018,1.128150021,38
7/27/2018,1.125879986,37
7/27/2018,1.02941536,36
7/27/2018,0.686324793,35
7/27/2018,1.057202155,34
7/27/2018,0.998329508,33
7/27/2018,0.791384838,32
7/27/2018,0.660958944,31
7/27/2018,0.666910892,30
7/27/2018,0.971095846,29
7/27/2018,1.11905325,28
7/27/2018,1.1040187,27
7/27/2018,1.092275614,26
7/27/2018,1.13107556,25
7/27/2018,0.871371482,24
7/27/2018,0.769351035,23
7/27/2018,0.915191461,22
7/27/2018,1.021840919,21
7/27/2018,0.878269301,20
7/27/2018,0.884647392,19
7/27/2018,0.722280827,18
7/27/2018,0.875297683,17
7/27/2018,0.881510061,16
7/27/2018,0.877824554,15
7/27/2018,0.721075431,14
7/27/2018,0.70037852,13
7/27/2018,0.791963307,12
7/27/2018,0.719922825,11
7/27/2018,0.843329044,10
7/27/2018,0.834631056,09
7/27/2018,0.890042898,08
7/27/2018,0.834629357,07
7/27/2018,0.840595501,06
7/27/2018,0.847592424,05
7/27/2018,0.86288789,04
7/27/2018,0.898158504,03
7/27/2018,0.804630647,02
7/27/2018,0.793416638,01
7/28/2018,0.421936903,48
7/28/2018,0.312660216,47
7/28/2018,0.286069736,46
7/28/2018,0.677632643,45
