WARD_NO,date,Temperature_Mean
33,4/1/2001,298.5455627
34,4/1/2001,298.5455627
46,4/1/2001,298.5455627
31,4/1/2001,298.5455627
32,4/1/2001,298.5455627
47,4/1/2001,298.5455627
48,4/1/2001,298.5455627
60,4/1/2001,298.5455627
61,4/1/2001,298.5424403
78,4/1/2001,298.5071008
23,4/1/2001,298.5455627
168,4/1/2001,298.5021973
169,4/1/2001,298.5021973
179,4/1/2001,298.5021973
149,4/1/2001,298.4946972
150,4/1/2001,298.5021973
82,4/1/2001,298.5021973
83,4/1/2001,298.4937657
84,4/1/2001,298.4879394
85,4/1/2001,298.5021973
174,4/1/2001,298.5021973
175,4/1/2001,298.5021973
186,4/1/2001,298.5021973
187,4/1/2001,298.5021973
188,4/1/2001,298.5021973
189,4/1/2001,298.5021973
190,4/1/2001,298.5021973
191,4/1/2001,298.5021973
193,4/1/2001,298.5021973
184,4/1/2001,298.5021973
185,4/1/2001,298.5021973
192,4/1/2001,298.5021973
194,4/1/2001,298.5021973
195,4/1/2001,298.5021973
196,4/1/2001,298.5021973
1,4/1/2001,298.5455627
52,4/1/2001,298.5455627
129,4/1/2001,298.5801809
170,4/1/2001,298.5021973
171,4/1/2001,298.5021973
183,4/1/2001,298.5021973
197,4/1/2001,298.5021973
177,4/1/2001,298.5021973
172,4/1/2001,298.5021973
26,4/1/2001,298.5455627
25,4/1/2001,298.5455627
86,4/1/2001,298.5021973
198,4/1/2001,298.5979515
24,4/1/2001,298.5455627
27,4/1/2001,298.5455627
28,4/1/2001,298.5455627
29,4/1/2001,298.5455627
30,4/1/2001,298.5455627
49,4/1/2001,298.5455627
59,4/1/2001,298.5229293
113,4/1/2001,298.5021973
50,4/1/2001,298.5229824
57,4/1/2001,298.5021973
58,4/1/2001,298.5021973
79,4/1/2001,298.5021973
80,4/1/2001,298.5021973
88,4/1/2001,298.5021973
110,4/1/2001,298.5021973
62,4/1/2001,298.5455627
63,4/1/2001,298.5094564
90,4/1/2001,298.5021973
91,4/1/2001,298.5021973
92,4/1/2001,298.5021973
93,4/1/2001,298.5021973
111,4/1/2001,298.5021973
112,4/1/2001,298.5021973
114,4/1/2001,298.5021973
115,4/1/2001,298.5021973
116,4/1/2001,298.5021973
117,4/1/2001,298.5021973
89,4/1/2001,298.5021973
109,4/1/2001,298.5021973
120,4/1/2001,298.5021973
121,4/1/2001,298.5021973
77,4/1/2001,298.5058865
94,4/1/2001,298.5021973
95,4/1/2001,298.5021973
96,4/1/2001,298.5021973
100,4/1/2001,298.5021973
101,4/1/2001,298.5021973
107,4/1/2001,298.5021973
108,4/1/2001,298.5021973
97,4/1/2001,298.5021973
98,4/1/2001,298.5021973
99,4/1/2001,298.5021973
103,4/1/2001,298.5021973
104,4/1/2001,298.5021973
105,4/1/2001,298.5021973
106,4/1/2001,298.5021973
125,4/1/2001,298.5021973
126,4/1/2001,298.5021973
127,4/1/2001,298.5021973
128,4/1/2001,298.5021973
131,4/1/2001,298.5021973
122,4/1/2001,298.5021973
123,4/1/2001,298.5021973
124,4/1/2001,298.5021973
132,4/1/2001,298.5021973
133,4/1/2001,298.5021973
134,4/1/2001,298.5021973
157,4/1/2001,298.5021973
158,4/1/2001,298.5021973
135,4/1/2001,298.5021973
136,4/1/2001,298.5021973
137,4/1/2001,298.5021973
138,4/1/2001,298.5021973
139,4/1/2001,298.5021973
140,4/1/2001,298.5021973
141,4/1/2001,298.5021973
118,4/1/2001,298.5021973
119,4/1/2001,298.5021973
142,4/1/2001,298.5021973
143,4/1/2001,298.5021973
144,4/1/2001,298.5021973
145,4/1/2001,298.5021973
153,4/1/2001,298.5021973
155,4/1/2001,298.5021973
156,4/1/2001,298.5021973
154,4/1/2001,298.5021973
162,4/1/2001,298.5021973
163,4/1/2001,298.5021973
164,4/1/2001,298.5021973
161,4/1/2001,298.5021973
165,4/1/2001,298.5021973
166,4/1/2001,298.5021973
167,4/1/2001,298.5021973
180,4/1/2001,298.5021973
181,4/1/2001,298.5021973
