DISPLAY_NA,WARD_NAME,WARD_NO,date,EVI_mean,NDVI_mean
"49, Malleshwaram West, Bengaluru",Kadu Malleshwar Ward,65,7/1/2010,1535.024285,1966.769671
"2500 1st Main Road, E block, 2nd Stage, Rajaji Nagar, Bengaluru",Subramanya Nagar,66,7/1/2010,1485.304698,2045.457842
"0 2nd Cross Road, Srirampura, Bengaluru",Gayithri Nagar,76,7/1/2010,1360.054746,1900.406047
"400 8th Cross Road, RMV 2nd Stage, Dollars Colony, R.M.V. 2nd Stage, Bengaluru",Radhakrishna Temple Ward,18,7/1/2010,2477.002653,3881.257401
"0 6th B Cross Road, RMV, Stage 2, Sanjaynagar, Bengaluru",Sanjaya Nagar,19,7/1/2010,2558.929266,3989.122831
"Unnamed Road, Sanjaynagar, Bengaluru",Ganga Nagar,20,7/1/2010,2525.144202,3601.168901
"Siroya Environ, Chola Nagar, Anandnagar, Hebbal, Bengaluru",Hebbala,21,7/1/2010,2275.166268,2959.949408
"Bhuwana Siri Apartments, 10th A Cross Road, Kanaka Nagar, Hebbal, Bengaluru",Vishwanath Nagenahalli,22,7/1/2010,1969.661465,2637.642198
"557, Dinnur, Hebbal, Bengaluru",Manorayanapalya,33,7/1/2010,1807.56716,2494.418846
"Mandenda Nilayam, 5th Main Road, Ganga Nagar Extension, Ganga Nagar, Bengaluru",Gangenahalli,34,7/1/2010,2129.510274,3181.280531
"300 14th Cross Road, 2nd Block, RT Nagar, Bengaluru",Jayachamarajendra Nagar,46,7/1/2010,2196.979616,2953.536015
"400 Masjid Road, Kushal Nagar, Kadugondanahalli, Bengaluru",Kushal Nagar,31,7/1/2010,1686.94446,2439.203304
"1085, Shampura, Kaval Bairasandra, Bengaluru",Kaval Bairasandra,32,7/1/2010,1899.018018,2639.402998
"null4th Cross Road, Modi Garden, Kaval Bairasandra, Bengaluru",Devara Jeevanahalli,47,7/1/2010,2088.695447,2781.2973
"100 3rd Cross Road, Dubai Layout, Amar layout, Kaval Bairasandra, Bengaluru",Muneshwara Nagar,48,7/1/2010,1752.541173,2460.530602
"0 Davis Road, Sagayapura, Richards Town, Bengaluru",Sagayarapuram,60,7/1/2010,1969.017957,2807.408197
"Masjid e Taqwa, S K Garden, Wahid Garden, Benson Town, Bengaluru",S K Garden,61,7/1/2010,2100.656972,2910.802063
"0 Coles Road, Cleveland Town, Pulikeshi Nagar, Bengaluru",Pulikeshinagar,78,7/1/2010,1744.567218,2552.924701
"creative elegance, 2nd A Cross, Vyalikaval HBCS Layout, Nagavara, Bengaluru",Nagavara,23,7/1/2010,1971.456074,2821.647757
"SRI NILAYAM #574, 15th Main Road, 5th Block, Telecom Layout, HBR Layout, Bengaluru",HBR Layout,24,7/1/2010,2279.221641,3216.647173
"800 2nd Cross Road, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru",Banasavadi,27,7/1/2010,2182.534131,3332.919771
"MM Buildings, Kammanahalli Main Road, Ramaswamipalya, Lingarajapuram, Bengaluru",Kammanahalli,28,7/1/2010,2057.340634,3123.708777
"300 3rd Cross Road, Indra Nagar, Kacharakanahalli, Bengaluru",Kacharkanahalli,29,7/1/2010,2202.943,3181.124035
"0 5th Cross Road, Vinobha Nagar, Kadugondanahalli, Bengaluru",Kadugondanahalli,30,7/1/2010,1809.436933,2677.350307
"0 Lokesh Tent Main Road, Lingarajapura Village, Lingarajapuram, Bengaluru",Lingarajapura,49,7/1/2010,1907.367731,2871.959656
"Saijothi, 1st Cross Road, D Costa Layout, Cooke Town, Bengaluru",Maruthi Seva Nagar,59,7/1/2010,2275.35845,3376.378137
"Oxford Spires, Rustum Bagh Main Road, Rustam Bagh Layout, Bengaluru",Konena Agrahara,113,7/1/2010,2169.598365,3062.023907
"0 1st Cross Road, Sadanandanagar, Bennigana Halli, Bengaluru",Benniganahalli,50,7/1/2010,2709.5262,3922.386548
"C6/10, C6/10, 1st Phase, C V Raman Nagar, Bengaluru",C V Raman Nagar,57,7/1/2010,2496.55804,3701.119483
"Lalit Residency, 1st Cross Street, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru",New Tippasandara,58,7/1/2010,2208.356634,3290.189592
"Saint Johns Church Cemetry Road, Kalhalli, Ulsoor, Bengaluru",Sarvagna Nagar,79,7/1/2010,2233.448849,3387.564563
