DISPLAY_NA,WARD_NAME,WARD_NO,date,mean
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,01/01/03,18.99313406
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,01/01/03,3.845292079
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,01/01/03,51.29044988
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,01/01/03,71.89707844
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,01/01/03,99.65782552
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,01/01/03,4.394044821
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,01/01/03,182.8032358
"0 4th Cross Road, H Gurumurthy ReddyColony, Yeshwanthpur, Bengaluru",Yeshwanthpura,37,01/01/03,226.8367501
"700 Ashwath Katte Road, Yeshwanthpur Suburb II Stage, Peenya, Peenya, Bengaluru",HMT Ward,38,01/01/03,188.6058387
"Ramanjaneya Temple Road, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru",Lakshmi Devi Nagar,42,01/01/03,229.8443667
"0 17th Main Road, Narasimhaswamy Nagar, Laggere, Bengaluru",Laggere,69,01/01/03,196.0517831
"Service Road, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru",Kottegepalya,73,01/01/03,140.6010166
"Kammagondana Halli Road, Srikrupa Layout, Abbigere, Abbigere, Bengaluru",Shettihalli,12,01/01/03,65.96243995
"3rd Main, Shetty Halli, Jalahalli West, Bengaluru",Mallasandra,13,01/01/03,157.7034381
"Manjunath Nagar Main Road, Vijayalakshmi Layout, Manjunatha Nagar, Bagalakunte, Bengaluru",Bagalakunte,14,01/01/03,116.4148756
"0 1st Cross Road, Kalahasti Nagar, Prashanth Nagar, T. Dasarahalli, Bengaluru",T Dasarahalli,15,01/01/03,216.3728026
"Andrahalli Main Road, Vidya Nagar, Peenya, Bengaluru",Chokkasandra,39,01/01/03,149.3682918
"400 12th Cross Road, Peenya Industrial Area Phase IV, Peenya, Bengaluru",Peenya Industrial Area,41,01/01/03,212.5938914
"2nd Main Road, Rajagopala Nagar, Peenya, Bengaluru",Rajagopal Nagar,70,01/01/03,149.7467667
"6th Cross Road, Lakshman Nagar, State Bank of India Colony, Bengaluru",Hegganahalli,71,01/01/03,183.919064
"Sai Residency, Sannakki Bayalu, Vrishabha Nagar, Kamaksipalya, Bengaluru",Vrisabhavathi Nagar,102,01/01/03,250.428779
"0 5th Cross Road, Panchadeep Colony, Nandini Layout, Bengaluru",Nandini Layout,43,01/01/03,201.0537372
"500 9th Cross, APMC Yard, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru",Marappana Palya,44,01/01/03,247.3543786
"Samartha Infosolutions, 3rd Main Road, West of Chord Road 2nd Stage, Nagapura, Bengaluru",Nagapura,67,01/01/03,256.7372855
"0 8th Cross Road, Satyanarayana Layout, Maruthi Nagar, Bengaluru",Mahalakshimpuram,68,01/01/03,251.0510549
"Olety Heritage, 15th Main Road, Maruthi Nagar, Basaweshwara Nagar, Bengaluru",Shakthi Ganapathi Nagar,74,01/01/03,265.3630703
"100 18th Main Road, JC Nagar, Kurubarahalli, Basaweshwara Nagar, Bengaluru",Shankar Matt,75,01/01/03,271.3223284
"94, RMV 2nd Stage, Ashwath Nagar, Armane Nagar, Bengaluru",Aramane Nagara,35,01/01/03,121.3547224
"500 MD Rajsikhar Road, Gokula Extension, Mathikere Extension, Mathikere, Bengaluru",Mattikere,36,01/01/03,229.1277938
"18, Malleshwaram West, Bengaluru",Malleswaram,45,01/01/03,209.9359215
"0 DB Street, M V Block, Guttahalli, Bengaluru",Rajamahal Guttahalli,64,01/01/03,241.3976077
"49, Malleshwaram West, Bengaluru",Kadu Malleshwar Ward,65,01/01/03,266.4844562
"2500 1st Main Road, E block, 2nd Stage, Rajaji Nagar, Bengaluru",Subramanya Nagar,66,01/01/03,247.8109459
"0 2nd Cross Road, Srirampura, Bengaluru",Gayithri Nagar,76,01/01/03,281.1870991
"400 8th Cross Road, RMV 2nd Stage, Dollars Colony, R.M.V. 2nd Stage, Bengaluru",Radhakrishna Temple Ward,18,01/01/03,229.6551039
"0 6th B Cross Road, RMV, Stage 2, Sanjaynagar, Bengaluru",Sanjaya Nagar,19,01/01/03,209.4498012
"Unnamed Road, Sanjaynagar, Bengaluru",Ganga Nagar,20,01/01/03,158.4020017
"Siroya Environ, Chola Nagar, Anandnagar, Hebbal, Bengaluru",Hebbala,21,01/01/03,234.9539813
"Bhuwana Siri Apartments, 10th A Cross Road, Kanaka Nagar, Hebbal, Bengaluru",Vishwanath Nagenahalli,22,01/01/03,197.3592673
"557, Dinnur, Hebbal, Bengaluru",Manorayanapalya,33,01/01/03,252.9687281
"Mandenda Nilayam, 5th Main Road, Ganga Nagar Extension, Ganga Nagar, Bengaluru",Gangenahalli,34,01/01/03,174.244461
"300 14th Cross Road, 2nd Block, RT Nagar, Bengaluru",Jayachamarajendra Nagar,46,01/01/03,201.5919776
"400 Masjid Road, Kushal Nagar, Kadugondanahalli, Bengaluru",Kushal Nagar,31,01/01/03,250.6873282
"1085, Shampura, Kaval Bairasandra, Bengaluru",Kaval Bairasandra,32,01/01/03,192.5997835
"null4th Cross Road, Modi Garden, Kaval Bairasandra, Bengaluru",Devara Jeevanahalli,47,01/01/03,140.4730456
"100 3rd Cross Road, Dubai Layout, Amar layout, Kaval Bairasandra, Bengaluru",Muneshwara Nagar,48,01/01/03,245.0015997
"0 Davis Road, Sagayapura, Richards Town, Bengaluru",Sagayarapuram,60,01/01/03,230.4283276
"Masjid e Taqwa, S K Garden, Wahid Garden, Benson Town, Bengaluru",S K Garden,61,01/01/03,141.2402137
"0 Coles Road, Cleveland Town, Pulikeshi Nagar, Bengaluru",Pulikeshinagar,78,01/01/03,232.0019567
"creative elegance, 2nd A Cross, Vyalikaval HBCS Layout, Nagavara, Bengaluru",Nagavara,23,01/01/03,183.2673628
"SRI NILAYAM #574, 15th Main Road, 5th Block, Telecom Layout, HBR Layout, Bengaluru",HBR Layout,24,01/01/04,179.3401116
"800 2nd Cross Road, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru",Banasavadi,27,01/01/04,9.152873031
"MM Buildings, Kammanahalli Main Road, Ramaswamipalya, Lingarajapuram, Bengaluru",Kammanahalli,28,01/01/04,194.1373117
"300 3rd Cross Road, Indra Nagar, Kacharakanahalli, Bengaluru",Kacharkanahalli,29,01/01/04,221.5767952
"0 5th Cross Road, Vinobha Nagar, Kadugondanahalli, Bengaluru",Kadugondanahalli,30,01/01/04,239.387496
"0 Lokesh Tent Main Road, Lingarajapura Village, Lingarajapuram, Bengaluru",Lingarajapura,49,01/01/04,284.1930677
"Saijothi, 1st Cross Road, D Costa Layout, Cooke Town, Bengaluru",Maruthi Seva Nagar,59,01/01/04,164.2773237
"Oxford Spires, Rustum Bagh Main Road, Rustam Bagh Layout, Bengaluru",Konena Agrahara,113,01/01/04,5.571504616
"0 1st Cross Road, Sadanandanagar, Bennigana Halli, Bengaluru",Benniganahalli,50,01/01/04,4.095500895
"C6/10, C6/10, 1st Phase, C V Raman Nagar, Bengaluru",C V Raman Nagar,57,01/01/04,4.296020669
"Lalit Residency, 1st Cross Street, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru",New Tippasandara,58,01/01/04,5.95749796
"Saint Johns Church Cemetry Road, Kalhalli, Ulsoor, Bengaluru",Sarvagna Nagar,79,01/01/04,97.55911555
"25/6, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru",Hoysala Nagar,80,01/01/04,115.6640058
"Pavan Enclave, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru",Jeevanbhima Nagar,88,01/01/04,6.740235783
"0 Doctor Ambedkar Veedhi, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru",Sampangiram Nagar,110,01/01/04,204.5118406
"0 3rd Cross Road, Munimarappa Garden, J.C.Nagar, Bengaluru",Ramaswamy Palya,62,01/01/04,187.7860227
"1st Cross Road, Nandi Durga Road Extension, Jayamahal, Bengaluru",Jayamahal,63,01/01/04,233.1463901
"Kensington Road, Ulsoor, Bengaluru",Halsoor,90,01/01/04,228.7791144
"0 Fruit Street Road, 1st Block, Bharati Nagar, Shivaji Nagar, Bengaluru",Bharathi Nagar,91,01/01/04,254.9756544
"Barkat Manzil, Sulthangunta, Shivaji Nagar, Bengaluru",Shivaji Nagar,92,01/01/04,300.3315668
"0 Sankey Road, Abshot Layout, Vasanth Nagar, Bengaluru",Vasanth Nagar,93,01/01/04,204.1253816
"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",Shantala Nagar,111,01/01/04,242.6727386
"0 12th Cross Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru",Domlur,112,01/01/04,159.6582514
"Intermediate Ring Road, Ejipura, Bengaluru",Agaram,114,01/01/04,83.7577632
"100 Lower Agaram Road, Rose Garden, Vannarpet Layout, Viveka Nagar, Bengaluru",Vannarpet,115,01/01/04,213.7920526
"Rose Garden 7th A Cross, Rose Garden, Richard Xavier's colony, Neelasandra, Bengaluru",Nilasandra,116,01/01/04,91.58320551
"0 Hosur Road, Langford Town, Shanti Nagar, Bengaluru",Shanthi Nagar,117,01/01/04,176.7565097
"0 4th Main Road, Lingayana Palya, Jogupalya, Bengaluru",Jogupalya,89,01/01/04,189.3768504
"0 DK Lane, Anchepet, Chickpet, Bengaluru",Chickpete,109,01/01/04,287.927803
"200 12th Main Road, Keshava Nagar, Binnipete, Bengaluru",Cottonpete,120,01/01/04,223.0224149
"0 5th A Cross Road, Mariyappanapalya, Binnipete, Bengaluru",Binnipete,121,01/01/04,234.0060318
"U/65/1, Malleshwaram West, Bengaluru",Dattatreya Temple,77,01/01/04,300.1532325
"24, RK Puram, Gandhi Nagar, Bengaluru",Gandhinagar,94,01/01/04,246.7132416
"Bangalore City Junction Railway, M.G. Railway Colony, Sevashrama, Bengaluru",Subhash Nagar,95,01/01/04,241.4867963
"0 3rd Cross Road, 4N Block, Ramchandrapuram, Srirampura, Bengaluru",Okalipuram,96,01/01/04,217.0426103
"22/A, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru",Basaveshwara Nagar,100,01/01/04,308.8486062
"0 4th Main Road, KHB Colony, Basaveshwar Nagar, Bengaluru",Kamakshipalya,101,01/01/04,294.0253323
"Umamaheshwara Niwas, Bovi Colony, Basaveshwar Nagar, Bengaluru",Shivanagara,107,01/01/04,311.6833023
"0 6th Cross Road, 4th M Block, Manjunath Nagar, Rajaji Nagar, Bengaluru",Sriramamandir,108,01/01/04,266.9933702
"1400 6th Cross Road, Bashyam Nagar, Dayananda Nagar, Rajaji Nagar, Bengaluru",Dayananda Nagar,97,01/01/04,290.7666074
"G/10, Mariappanapalya, Rajaji Nagar, Bengaluru",Prakash Nagar,98,01/01/04,303.566778
"0 12th Main Road, 2nd Block, Basaveshwar Nagar, Bengaluru",Rajaji Nagar,99,01/01/04,312.5275293
"400 13th Cross Road, Govindaraja Nagar Ward, Cauvery Nagar, Vijaya Nagar, Bengaluru",Kaveripura,103,01/01/04,199.9080075
"1700 5th Main Road, Govindaraja Nagar Ward, Govindarajanagar, Vijaya Nagar, Bengaluru",Govindaraja Nagar,104,01/01/04,287.8184929
"0 17th A Cross Road, Agrahara Dasarahalli, Rajaji Nagar, Bengaluru",Agrahara Dasarahalli,105,01/01/04,299.4300712
"Colorado, Rajaji Nagar Industrial Town, Rajaji Nagar, Bengaluru",Dr. Raj Kumar Ward,106,01/01/04,291.6427352
"0 16th Main Road, CHBS Layout, Stage 2, Vijaya Nagar, Bengaluru",Marenahalli,125,01/01/04,293.7826423
"200 6th Cross Road, Govindaraja Nagar Ward, GKW Layout, Vijaya Nagar, Bengaluru",Maruthi Mandir ward,126,01/01/04,274.8881871
"0 Manjunatha Talkies Road, Sanjivini Nagara, Govindarajanagar, Vijaya Nagar, Bengaluru",Mudalapalya,127,01/01/04,229.0308318
"1600 14th Cross Road, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru",Nagarabhavi,128,01/01/04,180.3216913
"0 Nayandahalli Main Road, Vinayaka Extension, Nayanda Halli, Bengaluru",Nayandahalli,131,01/01/04,28.30937557
"0 5th Main Road, Kempapura Agrahara, Bengaluru",Kempapura Agrahara,122,01/01/04,262.8543011
"1100 2nd Main Road, Hoshalli Extension, Stage 1, Vijaya Nagar, Bengaluru",Vijayanagar,123,01/01/04,284.930352
"2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru",Hosahalli,124,01/01/04,276.5056519
"0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru",Attiguppe,132,01/01/04,245.8247647
"400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru",Hampi Nagar,133,01/01/04,280.6758365
"0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru",Bapuji Nagar,134,01/01/04,278.6536593
"0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru",Gali Anjenaya Temple ward,157,01/01/04,254.8829979
"300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru",Deepanjali Nagar,158,01/01/04,81.18846564
"0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru",Padarayanapura,135,01/01/04,282.3047886
"0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru",Jagajivanaramnagar,136,01/01/04,266.1007447
"0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru",Rayapuram,137,01/01/04,248.7654859
"100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru",Chalavadipalya,138,01/01/04,282.7949306
"0 2nd Main Road, New Tharagupet, Bengaluru",K R Market,139,01/01/04,317.5404149
"100 7th Cross Road, Chamrajpet, Bengaluru",Chamrajapet,140,01/01/04,275.3591313
"165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru",Azad Nagar,141,01/01/04,268.5040301
"3rd Cross Road, Sampangi Rama Nagar, Bengaluru",Sudham Nagara,118,01/01/04,300.116154
"59, Kalasipalyam New Extension, Kalasipalya, Bengaluru",Dharmaraya Swamy Temple,119,01/01/04,318.3999034
"Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru",Sunkenahalli,142,01/01/04,270.7740607
"0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru",Vishveshwara Puram,143,01/01/04,211.343983
"Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru",Siddapura,144,01/01/04,140.2931662
"0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru",Hombegowda Nagara,145,01/01/04,99.92291626
"Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru",Jayanagar,153,01/01/04,105.922514
"Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru",Hanumanth Nagar,155,01/01/04,233.7074163
"12, Srinagar, Banashankari, Bengaluru",Srinagar,156,01/01/04,293.8254185
"0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru",Basavanagudi,154,01/01/04,242.9377803
"Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru",Girinagar,162,01/01/04,199.3299432
"0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru",Katriguppe,163,01/01/04,110.3970661
"6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru",Vidyapeeta ward,164,01/01/04,164.6094913
"Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru",Hosakerehalli,161,01/01/04,8.218507
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru",Ganesh Mandir ward,165,01/01/04,13.63234136
"300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru",Karisandra,166,01/01/04,13.57307107
"30/2, Sakamma Garden, Jayanagar, Bengaluru",Yediyur,167,01/01/04,81.12449383
"200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru",Banashankari Temple ward,180,01/01/04,13.38629639
"1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru",Kumaraswamy Layout,181,01/01/04,11.40745062
"100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru",Padmanabha Nagar,182,01/01/04,11.19922007
"0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad",Lakkasandra,146,01/01/04,11.29631866
"900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru",Adugodi,147,01/01/04,5.905670202
"26, Gowda Muniswamy Garden, Ejipura, Bengaluru",Ejipura,148,01/01/04,89.68400783
"Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru",Koramangala,151,01/01/04,8.577257889
"0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru",Suddagunte Palya,152,01/01/04,9.618014434
"0 34th Main Road, 1st Phase, JP Nagar, Bengaluru",Sarakki,178,01/01/04,11.793477
"0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru",Jakkasandra,173,01/01/04,6.631572697
"1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru",BTM Layout,176,01/01/04,10.67191087
"Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru",Pattabhiram Nagar,168,01/01/04,11.8744712
"100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru",Byrasandra,169,01/01/04,11.00137407
"725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru",Shakambari Nagar,179,01/01/04,9.824748934
"State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru",Varthuru,149,01/01/04,1.06411222
"Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru",Bellanduru,150,01/01/04,2.559850738
"300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru",Garudachar Playa,82,01/01/04,4.109617324
"Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru",Kadugodi,83,01/01/04,4.944889595
"M4, Phase 1, Whitefield, Bengaluru",Hagadur,84,01/01/04,1.7711414
"Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru",Dodda Nekkundi,85,01/01/04,4.185202165
"2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru",HSR Layout,174,01/01/04,9.465853017
"200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru",Bommanahalli,175,01/01/04,8.56855676
"Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru",Jaraganahalli,186,01/01/04,8.816769569
"0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru",Puttenahalli,187,01/01/04,7.264675172
"100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru",Bilekhalli,188,01/01/04,6.128235299
"0 2nd Cross Road, Hongasandra, Bengaluru",Hongasandra,189,01/01/04,10.05816434
"100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru",Mangammanapalya,190,01/01/04,15.13824235
"Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru",Singasandra,191,01/01/04,15.46590853
"100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru",Arakere,193,01/01/04,5.698940517
"4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru",Uttarahalli,184,01/01/04,3.445602404
"300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru",Yelchenahalli,185,01/01/04,10.42908991
"469/2, Begur, Bengaluru",Begur,192,01/01/04,3.450218611
"1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru",Gottigere,194,01/01/04,3.371406419
"0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru",Konankunte,195,01/01/04,5.465249335
"Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru",Anjanapura,196,01/01/04,2.409504053
"NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru",Kempegowda Ward,1,01/01/04,73.05108597
"0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru",K R Puram,52,01/01/04,3.135191415
"300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru",Jnana Bharathi ward,129,01/01/04,69.16618504
"400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru",Jayanagar East,170,01/01/04,13.19410203
"0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru",Gurappanapalya,171,01/01/04,12.68493445
"500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru",Chikkalsandra,183,01/01/04,12.29534017
"0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru",Vasanthpura,197,01/01/04,5.771897813
"100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru",J P Nagar,177,01/01/04,12.07867641
"0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru",Madivala,172,01/01/04,11.35953048
"Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru",Ramamurthy Nagar,26,01/01/04,2.215886629
"0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru",Horamavu,25,01/01/04,3.52125161
"0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru",Marathahalli,86,01/01/04,3.14185714
"BGS Road, Kodipalya, Bengaluru",Hemmigepura,198,01/01/04,1.894922355
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,01/01/04,70.22514102
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,01/01/04,95.96895494
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,01/01/04,110.3515018
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,01/01/04,7.011256019
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,01/01/04,2.870521422
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,01/01/04,1.93680548
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,01/01/04,5.309354867
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,01/01/04,6.031618626
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,01/01/04,3.032298085
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,01/01/04,3.761020704
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,01/01/04,125.1403577
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,01/01/04,72.86418929
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,01/01/04,44.35713138
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,01/01/04,20.69921109
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,01/01/04,118.4395051
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,01/01/04,142.0660719
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,01/01/04,85.6572636
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,01/01/04,19.37597859
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,01/01/04,4.367684483
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,01/01/04,50.82248034
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,01/01/04,70.64497633
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,01/01/04,88.60640465
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,01/01/04,4.348063666
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,01/01/04,189.1442359
"0 4th Cross Road, H Gurumurthy ReddyColony, Yeshwanthpur, Bengaluru",Yeshwanthpura,37,01/01/04,238.4707009
"700 Ashwath Katte Road, Yeshwanthpur Suburb II Stage, Peenya, Peenya, Bengaluru",HMT Ward,38,01/01/04,194.4768301
"Ramanjaneya Temple Road, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru",Lakshmi Devi Nagar,42,01/01/04,248.5615889
"0 17th Main Road, Narasimhaswamy Nagar, Laggere, Bengaluru",Laggere,69,01/01/04,212.8327667
"Service Road, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru",Kottegepalya,73,01/01/04,139.9461533
"Kammagondana Halli Road, Srikrupa Layout, Abbigere, Abbigere, Bengaluru",Shettihalli,12,01/01/04,59.77454071
"3rd Main, Shetty Halli, Jalahalli West, Bengaluru",Mallasandra,13,01/01/04,158.1726042
"Manjunath Nagar Main Road, Vijayalakshmi Layout, Manjunatha Nagar, Bagalakunte, Bengaluru",Bagalakunte,14,01/01/04,111.9518019
"0 1st Cross Road, Kalahasti Nagar, Prashanth Nagar, T. Dasarahalli, Bengaluru",T Dasarahalli,15,01/01/04,223.0069169
"Andrahalli Main Road, Vidya Nagar, Peenya, Bengaluru",Chokkasandra,39,01/01/04,146.4466166
"400 12th Cross Road, Peenya Industrial Area Phase IV, Peenya, Bengaluru",Peenya Industrial Area,41,01/01/04,227.9021251
"2nd Main Road, Rajagopala Nagar, Peenya, Bengaluru",Rajagopal Nagar,70,01/01/04,150.667068
"6th Cross Road, Lakshman Nagar, State Bank of India Colony, Bengaluru",Hegganahalli,71,01/01/04,193.9118681
"Sai Residency, Sannakki Bayalu, Vrishabha Nagar, Kamaksipalya, Bengaluru",Vrisabhavathi Nagar,102,01/01/04,272.40946
"0 5th Cross Road, Panchadeep Colony, Nandini Layout, Bengaluru",Nandini Layout,43,01/01/04,215.2438081
"500 9th Cross, APMC Yard, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru",Marappana Palya,44,01/01/04,262.6934554
"Samartha Infosolutions, 3rd Main Road, West of Chord Road 2nd Stage, Nagapura, Bengaluru",Nagapura,67,01/01/04,292.0264486
"0 8th Cross Road, Satyanarayana Layout, Maruthi Nagar, Bengaluru",Mahalakshimpuram,68,01/01/04,273.8764236
"Olety Heritage, 15th Main Road, Maruthi Nagar, Basaweshwara Nagar, Bengaluru",Shakthi Ganapathi Nagar,74,01/01/04,297.8291495
"100 18th Main Road, JC Nagar, Kurubarahalli, Basaweshwara Nagar, Bengaluru",Shankar Matt,75,01/01/04,304.0259778
