DISPLAY_NA,WARD_NAME,WARD_NO,date,mean
"Pavan Enclave, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru",Jeevanbhima Nagar,88,1/1/2000,15437.63713
"0 Doctor Ambedkar Veedhi, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru",Sampangiram Nagar,110,1/1/2000,15451.2073
"0 3rd Cross Road, Munimarappa Garden, J.C.Nagar, Bengaluru",Ramaswamy Palya,62,1/1/2000,15447.82754
"1st Cross Road, Nandi Durga Road Extension, Jayamahal, Bengaluru",Jayamahal,63,1/1/2000,15437.09274
"Kensington Road, Ulsoor, Bengaluru",Halsoor,90,1/1/2000,15423.70827
"0 Fruit Street Road, 1st Block, Bharati Nagar, Shivaji Nagar, Bengaluru",Bharathi Nagar,91,1/1/2000,15461.288
"Barkat Manzil, Sulthangunta, Shivaji Nagar, Bengaluru",Shivaji Nagar,92,1/1/2000,15456.48367
"0 Sankey Road, Abshot Layout, Vasanth Nagar, Bengaluru",Vasanth Nagar,93,1/1/2000,15444.43867
"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",Shantala Nagar,111,1/1/2000,15446.41835
"0 12th Cross Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru",Domlur,112,1/1/2000,15423.09131
"Intermediate Ring Road, Ejipura, Bengaluru",Agaram,114,1/1/2000,15379.52952
"100 Lower Agaram Road, Rose Garden, Vannarpet Layout, Viveka Nagar, Bengaluru",Vannarpet,115,1/1/2000,15457.08957
"Rose Garden 7th A Cross, Rose Garden, Richard Xavier's colony, Neelasandra, Bengaluru",Nilasandra,116,1/1/2000,15450.85031
"0 Hosur Road, Langford Town, Shanti Nagar, Bengaluru",Shanthi Nagar,117,1/1/2000,15478.00329
"0 4th Main Road, Lingayana Palya, Jogupalya, Bengaluru",Jogupalya,89,1/1/2000,15420.14908
"0 DK Lane, Anchepet, Chickpet, Bengaluru",Chickpete,109,1/1/2000,15514.27912
"200 12th Main Road, Keshava Nagar, Binnipete, Bengaluru",Cottonpete,120,1/1/2000,15553.37765
"0 5th A Cross Road, Mariyappanapalya, Binnipete, Bengaluru",Binnipete,121,1/1/2000,15544.18899
"U/65/1, Malleshwaram West, Bengaluru",Dattatreya Temple,77,1/1/2000,15452.52151
"24, RK Puram, Gandhi Nagar, Bengaluru",Gandhinagar,94,1/1/2000,15494.68286
"Bangalore City Junction Railway, M.G. Railway Colony, Sevashrama, Bengaluru",Subhash Nagar,95,1/1/2000,15507.05292
"0 3rd Cross Road, 4N Block, Ramchandrapuram, Srirampura, Bengaluru",Okalipuram,96,1/1/2000,15516.9418
"22/A, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru",Basaveshwara Nagar,100,1/1/2000,15504.59138
"0 4th Main Road, KHB Colony, Basaveshwar Nagar, Bengaluru",Kamakshipalya,101,1/1/2000,15537.39807
