DISPLAY_NA,WARD_NAME,WARD_NO,date,maximum_2m_air_temperature,minimum_2m_air_temperature
"Barkat Manzil, Sulthangunta, Shivaji Nagar, Bengaluru",Shivaji Nagar,92,1980-01-01T00:00:00,305.6798096,288.14151
"0 Sankey Road, Abshot Layout, Vasanth Nagar, Bengaluru",Vasanth Nagar,93,1980-01-01T00:00:00,305.6798096,288.14151
"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",Shantala Nagar,111,1980-01-01T00:00:00,305.6798096,288.14151
"0 12th Cross Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru",Domlur,112,1980-01-01T00:00:00,305.6798096,288.14151
"Intermediate Ring Road, Ejipura, Bengaluru",Agaram,114,1980-01-01T00:00:00,305.6798096,288.14151
"100 Lower Agaram Road, Rose Garden, Vannarpet Layout, Viveka Nagar, Bengaluru",Vannarpet,115,1980-01-01T00:00:00,305.6798096,288.14151
"Rose Garden 7th A Cross, Rose Garden, Richard Xavier's colony, Neelasandra, Bengaluru",Nilasandra,116,1980-01-01T00:00:00,305.6798096,288.14151
"0 Hosur Road, Langford Town, Shanti Nagar, Bengaluru",Shanthi Nagar,117,1980-01-01T00:00:00,305.6798096,288.14151
"0 4th Main Road, Lingayana Palya, Jogupalya, Bengaluru",Jogupalya,89,1980-01-01T00:00:00,305.6798096,288.14151
"0 DK Lane, Anchepet, Chickpet, Bengaluru",Chickpete,109,1980-01-01T00:00:00,305.6798096,288.14151
"200 12th Main Road, Keshava Nagar, Binnipete, Bengaluru",Cottonpete,120,1980-01-01T00:00:00,305.6798096,288.14151
"0 5th A Cross Road, Mariyappanapalya, Binnipete, Bengaluru",Binnipete,121,1980-01-01T00:00:00,305.6798096,288.14151
"U/65/1, Malleshwaram West, Bengaluru",Dattatreya Temple,77,1980-01-01T00:00:00,305.6519466,288.1341626
"24, RK Puram, Gandhi Nagar, Bengaluru",Gandhinagar,94,1980-01-01T00:00:00,305.6798096,288.14151
"Bangalore City Junction Railway, M.G. Railway Colony, Sevashrama, Bengaluru",Subhash Nagar,95,1980-01-01T00:00:00,305.6798096,288.14151
"0 3rd Cross Road, 4N Block, Ramchandrapuram, Srirampura, Bengaluru",Okalipuram,96,1980-01-01T00:00:00,305.6798096,288.14151
"22/A, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru",Basaveshwara Nagar,100,1980-01-01T00:00:00,305.6798096,288.14151
"0 4th Main Road, KHB Colony, Basaveshwar Nagar, Bengaluru",Kamakshipalya,101,1980-01-01T00:00:00,305.6798096,288.14151
"Umamaheshwara Niwas, Bovi Colony, Basaveshwar Nagar, Bengaluru",Shivanagara,107,1980-01-01T00:00:00,305.6798096,288.14151
"0 6th Cross Road, 4th M Block, Manjunath Nagar, Rajaji Nagar, Bengaluru",Sriramamandir,108,1980-01-01T00:00:00,305.6798096,288.14151
"1400 6th Cross Road, Bashyam Nagar, Dayananda Nagar, Rajaji Nagar, Bengaluru",Dayananda Nagar,97,1980-01-01T00:00:00,305.6798096,288.14151
"G/10, Mariappanapalya, Rajaji Nagar, Bengaluru",Prakash Nagar,98,1980-01-01T00:00:00,305.6798096,288.14151
"0 12th Main Road, 2nd Block, Basaveshwar Nagar, Bengaluru",Rajaji Nagar,99,1980-01-01T00:00:00,305.6798096,288.14151
"400 13th Cross Road, Govindaraja Nagar Ward, Cauvery Nagar, Vijaya Nagar, Bengaluru",Kaveripura,103,1980-01-01T00:00:00,305.6798096,288.14151
"1700 5th Main Road, Govindaraja Nagar Ward, Govindarajanagar, Vijaya Nagar, Bengaluru",Govindaraja Nagar,104,1980-01-01T00:00:00,305.6798096,288.14151
"0 17th A Cross Road, Agrahara Dasarahalli, Rajaji Nagar, Bengaluru",Agrahara Dasarahalli,105,1980-01-01T00:00:00,305.6798096,288.14151
"Colorado, Rajaji Nagar Industrial Town, Rajaji Nagar, Bengaluru",Dr. Raj Kumar Ward,106,1980-01-01T00:00:00,305.6798096,288.14151
"0 16th Main Road, CHBS Layout, Stage 2, Vijaya Nagar, Bengaluru",Marenahalli,125,1980-01-01T00:00:00,305.6798096,288.14151
"200 6th Cross Road, Govindaraja Nagar Ward, GKW Layout, Vijaya Nagar, Bengaluru",Maruthi Mandir ward,126,1980-01-01T00:00:00,305.6798096,288.14151
"0 Manjunatha Talkies Road, Sanjivini Nagara, Govindarajanagar, Vijaya Nagar, Bengaluru",Mudalapalya,127,1980-01-01T00:00:00,305.6798096,288.14151
"1600 14th Cross Road, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru",Nagarabhavi,128,1980-01-01T00:00:00,305.6798096,288.14151
"0 Nayandahalli Main Road, Vinayaka Extension, Nayanda Halli, Bengaluru",Nayandahalli,131,1980-01-01T00:00:00,305.6798096,288.14151
"0 5th Main Road, Kempapura Agrahara, Bengaluru",Kempapura Agrahara,122,1980-01-01T00:00:00,305.6798096,288.14151
"1100 2nd Main Road, Hoshalli Extension, Stage 1, Vijaya Nagar, Bengaluru",Vijayanagar,123,1980-01-01T00:00:00,305.6798096,288.14151
"2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru",Hosahalli,124,1980-01-01T00:00:00,305.6798096,288.14151
"0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru",Attiguppe,132,1980-01-01T00:00:00,305.6798096,288.14151
"400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru",Hampi Nagar,133,1980-01-01T00:00:00,305.6798096,288.14151
"0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru",Bapuji Nagar,134,1980-01-01T00:00:00,305.6798096,288.14151
"0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru",Gali Anjenaya Temple ward,157,1980-01-01T00:00:00,305.6798096,288.14151
"300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru",Deepanjali Nagar,158,1980-01-01T00:00:00,305.6798096,288.14151
"0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru",Padarayanapura,135,1980-01-01T00:00:00,305.6798096,288.14151
"0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru",Jagajivanaramnagar,136,1980-01-01T00:00:00,305.6798096,288.14151
"0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru",Rayapuram,137,1980-01-01T00:00:00,305.6798096,288.14151
"100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru",Chalavadipalya,138,1980-01-01T00:00:00,305.6798096,288.14151
"0 2nd Main Road, New Tharagupet, Bengaluru",K R Market,139,1980-01-01T00:00:00,305.6798096,288.14151
"100 7th Cross Road, Chamrajpet, Bengaluru",Chamrajapet,140,1980-01-01T00:00:00,305.6798096,288.14151
"165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru",Azad Nagar,141,1980-01-01T00:00:00,305.6798096,288.14151
"3rd Cross Road, Sampangi Rama Nagar, Bengaluru",Sudham Nagara,118,1980-01-01T00:00:00,305.6798096,288.14151
"59, Kalasipalyam New Extension, Kalasipalya, Bengaluru",Dharmaraya Swamy Temple,119,1980-01-01T00:00:00,305.6798096,288.14151
"Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru",Sunkenahalli,142,1980-01-01T00:00:00,305.6798096,288.14151
"0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru",Vishveshwara Puram,143,1980-01-01T00:00:00,305.6798096,288.14151
"Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru",Siddapura,144,1980-01-01T00:00:00,305.6798096,288.14151
"0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru",Hombegowda Nagara,145,1980-01-01T00:00:00,305.6798096,288.14151
"Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru",Jayanagar,153,1980-01-01T00:00:00,305.6798096,288.14151
"Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru",Hanumanth Nagar,155,1980-01-01T00:00:00,305.6798096,288.14151
"12, Srinagar, Banashankari, Bengaluru",Srinagar,156,1980-01-01T00:00:00,305.6798096,288.14151
"0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru",Basavanagudi,154,1980-01-01T00:00:00,305.6798096,288.14151
"Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru",Girinagar,162,1980-01-01T00:00:00,305.6798096,288.14151
"0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru",Katriguppe,163,1980-01-01T00:00:00,305.6798096,288.14151
"6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru",Vidyapeeta ward,164,1980-01-01T00:00:00,305.6798096,288.14151
"Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru",Hosakerehalli,161,1980-01-01T00:00:00,305.6798096,288.14151
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru",Ganesh Mandir ward,165,1980-01-01T00:00:00,305.6798096,288.14151
"300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru",Karisandra,166,1980-01-01T00:00:00,305.6798096,288.14151
