STATE_UT,date,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature
ANDHRA PRADESH,10/1/2013,304.9762873,297.4091237,290.48077
ANDHRA PRADESH,1/1/2014,307.5104457,298.3841304,290.93393
ANDHRA PRADESH,4/1/2014,313.8195183,304.53728,297.09103
ANDHRA PRADESH,7/1/2014,308.7315372,301.0306801,296.61285
ANDHRA PRADESH,10/1/2014,305.9839449,298.0602991,290.03375
ANDHRA PRADESH,1/1/2015,307.6152515,298.6845641,289.9884
ANDHRA PRADESH,4/1/2015,313.5407063,303.7967205,296.45935
ANDHRA PRADESH,7/1/2015,308.6061096,301.7931352,297.08347
ANDHRA PRADESH,10/1/2015,306.9027076,299.162264,291.62036
ANDHRA PRADESH,1/1/2016,309.5500736,300.2244194,291.89627
ANDHRA PRADESH,4/1/2016,314.2653683,304.777524,297.4226
ANDHRA PRADESH,7/1/2016,307.3268423,301.0281102,296.98926
ANDHRA PRADESH,10/1/2016,305.7851959,298.252315,290.1144
ANDHRA PRADESH,1/1/2017,308.7419645,299.4602155,290.67203
ANDHRA PRADESH,4/1/2017,314.1812107,304.8627922,297.3997
ANDHRA PRADESH,7/1/2017,307.7468546,301.2708596,296.74884
ANDHRA PRADESH,10/1/2017,306.0658386,298.488723,290.73798
ANDHRA PRADESH,1/1/2018,308.4341639,299.1465034,290.14725
ANDHRA PRADESH,4/1/2018,312.7635791,304.3711569,296.9462
ANDHRA PRADESH,7/1/2018,307.7791672,301.006226,296.5209
ANDHRA PRADESH,10/1/2018,306.3634648,298.7983912,289.96368
ANDHRA PRADESH,1/1/2019,308.742783,299.3175873,290.1722
ANDHRA PRADESH,4/1/2019,314.2179516,305.6501882,298.38235
ANDHRA PRADESH,7/1/2019,307.5792183,301.0229058,296.8637
ANDHRA PRADESH,10/1/2019,304.9187877,298.492305,292.7531
ANDHRA PRADESH,1/1/2020,307.518394,299.2324677,291.83032
ANDHRA PRADESH,4/1/2020,312.3164962,304.2188401,297.3172
ARUNACHAL PRADESH,1/1/2000,286.6741739,277.4167854,268.42383
ARUNACHAL PRADESH,4/1/2000,295.1287876,287.4928972,280.64868
ARUNACHAL PRADESH,7/1/2000,296.355115,290.098566,285.53683
ARUNACHAL PRADESH,10/1/2000,290.7420121,281.5631338,270.8317
ARUNACHAL PRADESH,1/1/2001,288.0292184,279.0381905,269.2582
ARUNACHAL PRADESH,4/1/2001,295.5003437,287.3430013,279.90207
ARUNACHAL PRADESH,7/1/2001,296.9946834,290.7178007,286.16052
ARUNACHAL PRADESH,10/1/2001,290.3999859,282.0985956,272.71
ARUNACHAL PRADESH,1/1/2002,287.9502968,278.8951889,268.65686
ARUNACHAL PRADESH,4/1/2002,295.3599951,286.9738257,279.21457
ARUNACHAL PRADESH,7/1/2002,296.7287872,290.0863246,285.58902
ARUNACHAL PRADESH,10/1/2002,290.8123952,281.5528336,271.57248
ARUNACHAL PRADESH,1/1/2003,287.3277626,277.9676873,268.24936
ARUNACHAL PRADESH,4/1/2003,294.5980167,286.9240081,280.3286
ARUNACHAL PRADESH,7/1/2003,296.8593723,290.4083025,286.35846
