ST_NM,date,population
Meghalaya,2002-01-01,0.8895336032569582
Meghalaya,2003-01-01,0.9094046859643277
Meghalaya,2004-01-01,0.9326349118181566
Meghalaya,2005-01-01,0.9556744614522458
Meghalaya,2006-01-01,0.9808232445925136
Meghalaya,2007-01-01,1.0013991134730917
Meghalaya,2008-01-01,1.022891254170753
Meghalaya,2009-01-01,1.0503411663045819
Meghalaya,2010-01-01,1.0740516798857789
Meghalaya,2011-01-01,1.1044552749525987
Meghalaya,2012-01-01,1.1356476332157153
Meghalaya,2013-01-01,1.1709085456562658
Meghalaya,2014-01-01,1.1952455856660984
Meghalaya,2015-01-01,1.2290667387192165
Meghalaya,2016-01-01,1.268906178689351
Meghalaya,2017-01-01,1.306626411438527
Meghalaya,2018-01-01,1.3345423856646843
Meghalaya,2019-01-01,1.3656238946996002
Meghalaya,2020-01-01,1.4058225427956688
Mizoram,2000-01-01,0.32371520019031685
Mizoram,2001-01-01,0.33061675837317533
Mizoram,2002-01-01,0.3377261907368406
Mizoram,2003-01-01,0.34583680384428733
Mizoram,2004-01-01,0.352728405341808
Mizoram,2005-01-01,0.360882233016448
Mizoram,2006-01-01,0.3696427776946089
Mizoram,2007-01-01,0.3766402759560673
Mizoram,2008-01-01,0.385188904977783
Mizoram,2009-01-01,0.39459895030487663
Mizoram,2010-01-01,0.4046613243800156
Mizoram,2011-01-01,0.4142062195645675
Mizoram,2012-01-01,0.4235885132221339
Mizoram,2013-01-01,0.4333654717615158
Mizoram,2014-01-01,0.44424555132205146
Mizoram,2015-01-01,0.45191601523705377
Mizoram,2016-01-01,0.46207348256135755
Mizoram,2017-01-01,0.4717274902021136
Mizoram,2018-01-01,0.48243427974516706
Mizoram,2019-01-01,0.49279686782863186
Mizoram,2020-01-01,0.5030648316549827
NCT of Delhi,2000-01-01,122.93489937677964
NCT of Delhi,2001-01-01,124.0875445361805
NCT of Delhi,2002-01-01,125.32164645202849
NCT of Delhi,2003-01-01,126.6250111076519
NCT of Delhi,2004-01-01,127.97436708506171
NCT of Delhi,2005-01-01,129.37571838434394
NCT of Delhi,2006-01-01,130.75544994146006
NCT of Delhi,2007-01-01,132.2075199707193
NCT of Delhi,2008-01-01,133.58881853564637
NCT of Delhi,2009-01-01,135.17893772740015
NCT of Delhi,2010-01-01,136.87373852882388
NCT of Delhi,2011-01-01,138.52744590215738
NCT of Delhi,2012-01-01,140.05954605772814
NCT of Delhi,2013-01-01,141.85920990396264
NCT of Delhi,2014-01-01,143.65253553641466
NCT of Delhi,2015-01-01,145.43502065815935
NCT of Delhi,2016-01-01,147.2137561404654
NCT of Delhi,2017-01-01,148.91037257020923
NCT of Delhi,2018-01-01,150.9278256588624
NCT of Delhi,2019-01-01,152.9132328276383
NCT of Delhi,2020-01-01,154.85785061401344
Nagaland,2000-01-01,1.083350956350956
Nagaland,2001-01-01,1.074354783458723
Nagaland,2002-01-01,1.069307977725533
Nagaland,2003-01-01,1.0610409110252554
Nagaland,2004-01-01,1.056790705901285
Nagaland,2005-01-01,1.0582171580499349
Nagaland,2006-01-01,1.0481296601420382
Nagaland,2007-01-01,1.0485128517282423
Nagaland,2008-01-01,1.054763773768405
Nagaland,2009-01-01,1.051473315053235
Nagaland,2010-01-01,1.0524442805910577
Nagaland,2011-01-01,1.0501915966487023
Nagaland,2012-01-01,1.056078971961488
Nagaland,2013-01-01,1.0579718661467752
Nagaland,2014-01-01,1.064805362336017
Nagaland,2015-01-01,1.0722434686402387
Nagaland,2016-01-01,1.0764426848040691
Nagaland,2017-01-01,1.0838130982758176
Nagaland,2018-01-01,1.0831398381694335
Nagaland,2019-01-01,1.0911453211930648
Nagaland,2020-01-01,1.1003930818682857
Odisha,2000-01-01,2.354220399500761
Odisha,2001-01-01,2.383987387639741
Odisha,2002-01-01,2.4143121543766237
Odisha,2003-01-01,2.4446907827822146
Odisha,2004-01-01,2.4756894151924524
Odisha,2005-01-01,2.5066579528875805
Odisha,2006-01-01,2.5387113623603446
Odisha,2007-01-01,2.5710292572027025
Odisha,2008-01-01,2.603757315324466
Odisha,2009-01-01,2.637803405554584
Odisha,2010-01-01,2.671294579588241
Odisha,2011-01-01,2.7043716577630383
Odisha,2012-01-01,2.7389578755695996
Odisha,2013-01-01,2.774405593553321
Odisha,2014-01-01,2.8102174150263437
Odisha,2015-01-01,2.8467748564544215
Odisha,2016-01-01,2.883607632302942
Odisha,2017-01-01,2.92088063660218
Odisha,2018-01-01,2.9584945401678415
Odisha,2019-01-01,2.9967307727178185
Odisha,2020-01-01,3.035506538104826
Puducherry,2000-01-01,15.547159260111815
Puducherry,2001-01-01,15.298368767323513
Puducherry,2002-01-01,15.997905479510573
Puducherry,2003-01-01,16.566601540895384
Puducherry,2004-01-01,17.059766023025773
Puducherry,2005-01-01,17.92256444281807
Puducherry,2006-01-01,18.225153512728397
Puducherry,2007-01-01,18.36755607996853
Puducherry,2008-01-01,19.060904292800352
Puducherry,2009-01-01,19.86114469072237
Puducherry,2010-01-01,19.8773283472107
Puducherry,2011-01-01,20.776207969393827
Puducherry,2012-01-01,22.328648144426992
Puducherry,2013-01-01,22.66891037555244
Puducherry,2014-01-01,23.18093638797523
Puducherry,2015-01-01,24.391187435653688
Puducherry,2016-01-01,25.461973655632335
Puducherry,2017-01-01,26.58008016833569
Puducherry,2018-01-01,26.737008936768234
Puducherry,2019-01-01,27.224877895404777
Puducherry,2020-01-01,28.088926687741942
Punjab,2000-01-01,3.596059865999056
Punjab,2001-01-01,3.6448151975972016
Punjab,2002-01-01,3.69455058545324
Punjab,2003-01-01,3.744274444084284
Punjab,2004-01-01,3.7975483486597605
Punjab,2005-01-01,3.8454702768265365
Punjab,2006-01-01,3.899915131724201
Punjab,2007-01-01,3.9560265046173093
Punjab,2008-01-01,4.004681547295364
Punjab,2009-01-01,4.057955757589346
Punjab,2010-01-01,4.1143083536859795
Punjab,2011-01-01,4.165420380332301
Punjab,2012-01-01,4.217719051683387
Punjab,2013-01-01,4.2748598134186775
Punjab,2014-01-01,4.331449079036672
Punjab,2015-01-01,4.391944521575092
Punjab,2016-01-01,4.455225208908258
Punjab,2017-01-01,4.51671797412001
Punjab,2018-01-01,4.580249069264416
Punjab,2019-01-01,4.6412843099388335
Punjab,2020-01-01,4.708941444835018
Rajasthan,2000-01-01,1.6542324349856505
Rajasthan,2001-01-01,1.6858863682440122
Rajasthan,2002-01-01,1.7177039137491188
Rajasthan,2003-01-01,1.7509072341736511
Rajasthan,2004-01-01,1.7839264838135833
Rajasthan,2005-01-01,1.8177588200678538
Rajasthan,2006-01-01,1.852503174224167
Rajasthan,2007-01-01,1.8878505717874121
Rajasthan,2008-01-01,1.9241113007047406
Rajasthan,2009-01-01,1.962139130212771
Rajasthan,2010-01-01,1.9997137941679006
Rajasthan,2011-01-01,2.037048809184256
Rajasthan,2012-01-01,2.0765623306677026
Rajasthan,2013-01-01,2.1157530071283257
Rajasthan,2014-01-01,2.1568634840759406
Rajasthan,2015-01-01,2.1981321838694687
Rajasthan,2016-01-01,2.2397505746302935
Rajasthan,2017-01-01,2.2826458060980084
Rajasthan,2018-01-01,2.3265966833911773
