State,date,fire
Arunanchal Pradesh,2009-04-01,4.692219027499999
Arunanchal Pradesh,2009-07-01,4.658187117000001
Arunanchal Pradesh,2009-10-01,4.776438728125
Arunanchal Pradesh,2010-01-01,4.673206005687501
Arunanchal Pradesh,2010-04-01,4.583539945437501
Arunanchal Pradesh,2010-07-01,4.585348683562501
Arunanchal Pradesh,2010-10-01,4.74773924625
Arunanchal Pradesh,2011-01-01,4.626548271
Arunanchal Pradesh,2011-04-01,4.626428738562501
Arunanchal Pradesh,2011-07-01,4.6363047193125
Arunanchal Pradesh,2011-10-01,4.799310707312499
Arunanchal Pradesh,2012-01-01,4.572240698437501
Arunanchal Pradesh,2012-04-01,4.57580983425
Arunanchal Pradesh,2012-07-01,4.545476565312499
Arunanchal Pradesh,2012-10-01,4.8090800348125
Arunanchal Pradesh,2013-01-01,4.723167115687501
Arunanchal Pradesh,2013-04-01,4.5852669925625005
Arunanchal Pradesh,2013-07-01,4.6270069603125
Arunanchal Pradesh,2013-10-01,4.760795263
Arunanchal Pradesh,2014-01-01,4.661149757187499
Arunanchal Pradesh,2014-04-01,4.653771104375
Arunanchal Pradesh,2014-07-01,4.57805953025
Arunanchal Pradesh,2014-10-01,4.8364777959374985
Arunanchal Pradesh,2015-01-01,4.724224405875
Arunanchal Pradesh,2015-04-01,4.6041900274375
Arunanchal Pradesh,2015-07-01,4.6034403465625
Arunanchal Pradesh,2015-10-01,4.81086115125
Arunanchal Pradesh,2016-01-01,4.63169378425
Arunanchal Pradesh,2016-04-01,4.5688002553125004
Arunanchal Pradesh,2016-07-01,4.579374091125
Arunanchal Pradesh,2016-10-01,4.875167172875
Arunanchal Pradesh,2017-01-01,4.6775532069375
Arunanchal Pradesh,2017-04-01,4.612898840562499
Arunanchal Pradesh,2017-07-01,4.6135435811875
Arunanchal Pradesh,2017-10-01,4.860152886375
Arunanchal Pradesh,2018-01-01,4.630922853187498
Arunanchal Pradesh,2018-04-01,4.662586630375
Arunanchal Pradesh,2018-07-01,4.621263363249999
Arunanchal Pradesh,2018-10-01,4.776217082374998
Arunanchal Pradesh,2019-01-01,4.635571030625
Arunanchal Pradesh,2019-04-01,4.696996183187499
Arunanchal Pradesh,2019-07-01,4.5815735635625
Arunanchal Pradesh,2019-10-01,4.75821458975
Assam,2000-01-01,4.743863943407408
Assam,2000-04-01,4.63606620762963
Assam,2000-07-01,4.552979671333333
Assam,2000-10-01,4.811061261444444
Assam,2001-01-01,4.827460758555556
Assam,2001-04-01,4.696314135555555
Assam,2001-07-01,4.633585421777777
Assam,2001-10-01,4.785342390777779
Assam,2002-01-01,4.8180211551481475
Assam,2002-04-01,4.643053919259259
Assam,2002-07-01,4.550052319666667
Assam,2002-10-01,4.808345120370371
Assam,2003-01-01,4.789281161777778
Assam,2003-04-01,4.662299872814815
Assam,2003-07-01,4.636074246851852
Assam,2003-10-01,4.746489467481482
Assam,2004-01-01,4.803873451666667
Assam,2004-04-01,4.635751075185185
Assam,2004-10-01,4.817072072666666
Assam,2005-01-01,4.75958380048148
Assam,2005-04-01,4.685542731962962
Assam,2005-07-01,4.596992089703703
Assam,2005-10-01,4.777282877296296
Assam,2006-01-01,4.81653657725926
Assam,2006-04-01,4.658108420074074
Assam,2006-07-01,4.6658286039259265
Assam,2006-10-01,4.791485102851851
Assam,2007-01-01,4.7950988755925925
Assam,2007-04-01,4.65215066237037
Assam,2007-07-01,4.547058829888887
Assam,2007-10-01,4.795449099777778
Assam,2008-01-01,4.753673051259259
Assam,2008-04-01,4.707543150592593
Assam,2008-07-01,4.575335388629629
Assam,2008-10-01,4.818177127222222
Assam,2009-01-01,4.824617935333333
Assam,2009-04-01,4.701617331148147
Assam,2009-07-01,4.650906465148148
Assam,2009-10-01,4.796350622148148
Assam,2010-01-01,4.802424845333333
Assam,2010-04-01,4.629862539259259
