ST_NM,date,evaptrans
Arunanchal Pradesh,2011-10-01,156.452971726875
Arunanchal Pradesh,2012-01-01,130.36517361875
Arunanchal Pradesh,2012-04-01,245.92010298124998
Arunanchal Pradesh,2012-07-01,228.77637270000002
Arunanchal Pradesh,2012-10-01,160.2390377625
Arunanchal Pradesh,2013-01-01,151.8263096125
Arunanchal Pradesh,2013-04-01,254.706899175
Arunanchal Pradesh,2013-07-01,243.57028532499996
Arunanchal Pradesh,2013-10-01,157.58940496625002
Arunanchal Pradesh,2014-01-01,144.3608507625
Arunanchal Pradesh,2014-04-01,216.38192954999997
Arunanchal Pradesh,2014-07-01,245.82314951250004
Arunanchal Pradesh,2014-10-01,161.03504848749998
Arunanchal Pradesh,2015-01-01,144.53104788125
Arunanchal Pradesh,2015-04-01,202.06511064375005
Arunanchal Pradesh,2015-07-01,261.121516675
Arunanchal Pradesh,2015-10-01,155.34709936875
Arunanchal Pradesh,2016-01-01,136.53813576250002
Arunanchal Pradesh,2016-04-01,211.3227572625
Arunanchal Pradesh,2016-07-01,249.92683058125004
Arunanchal Pradesh,2016-10-01,164.84089861124997
Arunanchal Pradesh,2017-01-01,146.388350984375
Arunanchal Pradesh,2017-04-01,234.0694735875
Arunanchal Pradesh,2017-07-01,238.12359476250003
Arunanchal Pradesh,2017-10-01,160.24188939937497
Arunanchal Pradesh,2018-01-01,153.90115984375
Arunanchal Pradesh,2018-04-01,214.14974736875004
Arunanchal Pradesh,2018-07-01,222.564956
Arunanchal Pradesh,2018-10-01,147.30353292500004
Arunanchal Pradesh,2019-01-01,148.53755860437502
Arunanchal Pradesh,2019-04-01,218.43732801250002
Arunanchal Pradesh,2019-07-01,240.95527631875
Arunanchal Pradesh,2019-10-01,152.124754359375
Arunanchal Pradesh,2020-01-01,144.18626746875
Arunanchal Pradesh,2020-04-01,232.84952905625002
Arunanchal Pradesh,2020-07-01,256.1904665625
Assam,2001-01-01,78.55295439925925
Assam,2001-04-01,142.50229936777777
Assam,2001-07-01,238.84899944444444
Assam,2001-10-01,170.56948740740742
Assam,2002-01-01,89.88155488074074
Assam,2002-04-01,172.95999992222224
Assam,2002-07-01,281.5795234888888
Assam,2002-10-01,175.48219254444442
Assam,2003-01-01,104.88220386555558
Assam,2003-04-01,159.92123392703704
Assam,2003-07-01,274.54185352962963
Assam,2003-10-01,182.81416384444444
Assam,2004-01-01,98.25252969370369
Assam,2004-04-01,168.44148661481483
Assam,2004-07-01,256.86956766296294
Assam,2004-10-01,175.86161441111108
Assam,2005-01-01,110.40905897037035
Assam,2005-04-01,163.68414036666667
Assam,2005-07-01,286.0994956592593
Assam,2005-10-01,177.43248367777778
Assam,2006-01-01,88.53220245555555
Assam,2006-04-01,179.2458369037037
Assam,2006-07-01,285.64897787037035
Assam,2006-10-01,161.23995975185187
Assam,2007-01-01,94.43410988629628
Assam,2007-04-01,166.91827760370373
Assam,2007-07-01,276.3328220407407
Assam,2007-10-01,173.13484065185187
Assam,2008-01-01,104.82197956666666
Assam,2008-04-01,145.59098258074076
Assam,2008-07-01,279.6901197851852
Assam,2008-10-01,187.1549667444444
Assam,2009-01-01,83.39210445333332
Assam,2009-04-01,164.31469957777776
Assam,2009-07-01,284.64527592592594
Assam,2009-10-01,178.8804447185185
Assam,2010-01-01,75.1702690425926
Assam,2010-04-01,152.6673457640741
Assam,2010-07-01,281.7550181851852
Assam,2010-10-01,184.0733203074074
Assam,2011-01-01,103.56897228111109
Assam,2011-04-01,185.38868123703705
Assam,2011-07-01,310.12429246296296
Assam,2011-10-01,184.18289505555552
Assam,2012-01-01,74.34221451888888
Assam,2012-04-01,155.3818869962963
Assam,2012-07-01,267.5372301444445
Assam,2012-10-01,175.06085864814818
Assam,2013-01-01,93.29658427370371
Assam,2013-04-01,192.90319513703702
Assam,2013-07-01,270.35935703333337
Assam,2013-10-01,200.52581601111112
Assam,2014-01-01,109.9490667962963
Assam,2014-04-01,133.8365743640741
Assam,2014-07-01,284.42031626666665
Assam,2014-10-01,189.86846173703702
Assam,2015-01-01,98.91369681777779
Assam,2015-04-01,168.10216334814817
Assam,2015-07-01,287.5398110888889
Assam,2015-10-01,196.6378050444444
Assam,2016-01-01,99.63464466851853
Assam,2016-04-01,154.9539526188889
Assam,2016-07-01,280.45913291111106
Assam,2016-10-01,191.70179747407403
Assam,2017-01-01,104.4729070362963
Assam,2017-04-01,197.91380157407406
Assam,2017-07-01,281.1099665296296
Assam,2017-10-01,192.61296256296302
Assam,2018-01-01,111.02085582074076
Assam,2018-04-01,180.8215651962963
Assam,2018-07-01,280.3866294407407
Assam,2018-10-01,165.00408976592595
Assam,2019-01-01,105.89253858111113
Assam,2019-04-01,164.79090990370366
Assam,2019-07-01,268.15997198888897
Assam,2019-10-01,187.2085113851852
Assam,2020-01-01,113.29412801962962
Assam,2020-04-01,170.22262545555557
Assam,2020-07-01,285.41375147407405
Bihar,2001-01-01,48.46222912789474
Bihar,2001-04-01,17.255750405710526
Bihar,2001-07-01,194.47137951315784
Bihar,2001-10-01,94.14622959421052
Bihar,2002-01-01,73.28307111921053
Bihar,2002-04-01,21.87726537286842
Bihar,2002-07-01,208.85643007894734
Bihar,2002-10-01,105.17039036842102
Bihar,2003-01-01,75.99786248289473
Bihar,2003-04-01,5.742530120131579
Bihar,2003-07-01,240.63196209210528
Bihar,2003-10-01,144.51033993684212
Bihar,2004-01-01,60.68337002605262
Bihar,2004-04-01,25.36578986881579
Bihar,2004-07-01,226.87753985263163
Bihar,2004-10-01,104.87465717289471
Bihar,2005-01-01,69.17805768342104
Bihar,2005-04-01,5.808960164342103
Bihar,2005-07-01,237.64676478157895
Bihar,2005-10-01,113.88459418447366
Bihar,2006-01-01,51.76449354526316
Bihar,2006-04-01,33.27143427105264
Bihar,2006-07-01,221.43730039210527
Bihar,2006-10-01,103.40810999842105
Bihar,2007-01-01,72.46756218894738
Bihar,2007-04-01,17.15101843726316
Bihar,2007-07-01,236.5214889263159
Bihar,2007-10-01,126.9381730260526
Bihar,2008-01-01,69.30534788421055
Bihar,2008-04-01,11.47622078113158
Bihar,2008-07-01,237.2495265157895
Bihar,2008-10-01,115.30275265526315
Bihar,2009-01-01,61.59945991
Bihar,2009-04-01,23.682849835526312
Bihar,2009-07-01,209.28273766842108
Bihar,2009-10-01,96.8373233936842
Bihar,2010-01-01,54.78136667921053
Bihar,2010-04-01,8.278346180342105
Bihar,2010-07-01,205.9830860078947
Bihar,2010-10-01,103.71786600842105
Bihar,2011-01-01,69.18005489684208
Bihar,2011-04-01,14.75101609986842
Bihar,2011-07-01,245.23766819736844
Bihar,2011-10-01,116.1390052126316
Bihar,2012-01-01,72.3177902376316
Bihar,2012-04-01,6.990198301157892
Bihar,2012-07-01,194.6117976157895
Bihar,2012-10-01,89.59237202289474
Bihar,2013-01-01,82.26663268578947
Bihar,2013-04-01,29.043192663789473
Bihar,2013-07-01,197.47812602631583
Bihar,2013-10-01,123.06991931052632
Bihar,2014-01-01,99.71682976263156
Bihar,2014-04-01,14.75046125268421
Bihar,2014-07-01,190.4481209184211
Bihar,2014-10-01,85.05369909921053
Bihar,2015-01-01,77.03935065526316
Bihar,2015-04-01,14.228769957578944
Bihar,2015-07-01,178.69198343973684
Bihar,2015-10-01,85.92917877499997
Bihar,2016-01-01,55.43862340289474
Bihar,2016-04-01,3.8568427473157896
Bihar,2016-07-01,237.83756539473688
Bihar,2016-10-01,113.06060578289477
Bihar,2017-01-01,85.86616274263156
Bihar,2017-04-01,16.03422903857895
Bihar,2017-07-01,236.1066761763158
Bihar,2017-10-01,123.37591266052631
Bihar,2018-01-01,77.09218025052633
Bihar,2018-04-01,32.53298954989474
Bihar,2018-07-01,216.37234691315797
Bihar,2018-10-01,90.14495966368425
Bihar,2019-01-01,97.61648131263162
Bihar,2019-04-01,22.241736159736842
Bihar,2019-07-01,196.44284706315793
Bihar,2019-10-01,129.4541527013158
Bihar,2020-01-01,128.29465017157895
Bihar,2020-04-01,48.27093533605263
Bihar,2020-07-01,261.40808673947373
Chandigarh,2001-01-01,51.60045952
Chandigarh,2001-04-01,12.27796355
Chandigarh,2001-07-01,112.2406631
Chandigarh,2001-10-01,25.44161669
Chandigarh,2002-01-01,55.38624907
Chandigarh,2002-04-01,4.993441257
Chandigarh,2002-07-01,68.19468559
Chandigarh,2002-10-01,39.12871492
Chandigarh,2003-01-01,59.552924399999995
Chandigarh,2003-04-01,11.48916826
Chandigarh,2003-07-01,153.54707109999998
Chandigarh,2003-10-01,40.8081114
Chandigarh,2004-01-01,52.9805719
Chandigarh,2004-04-01,14.69111314
Chandigarh,2004-07-01,97.45548436
Chandigarh,2004-10-01,48.11744704
Chandigarh,2005-01-01,71.20434187
Chandigarh,2005-04-01,15.30008444
Chandigarh,2005-07-01,123.1794997
Chandigarh,2005-10-01,42.89819322
Chandigarh,2006-01-01,50.73519348
Chandigarh,2006-04-01,18.083214399999996
Chandigarh,2006-07-01,158.75546119999998
Chandigarh,2006-10-01,40.19729365
Chandigarh,2007-01-01,64.2951905
Chandigarh,2007-04-01,24.94029624
Chandigarh,2007-07-01,119.6964608
Chandigarh,2007-10-01,34.01508238
Chandigarh,2008-01-01,32.96207152
Chandigarh,2008-04-01,26.47517614
Chandigarh,2008-07-01,151.4384097
Chandigarh,2008-10-01,46.13632771
Chandigarh,2009-01-01,46.65236336
Chandigarh,2009-04-01,10.11972391
Chandigarh,2009-07-01,136.5911315
Chandigarh,2009-10-01,46.38676897
Chandigarh,2010-01-01,35.970915399999996
Chandigarh,2010-04-01,4.3070047680000005
Chandigarh,2010-07-01,143.7520378
Chandigarh,2010-10-01,56.95127527
Chandigarh,2011-01-01,55.85107619
Chandigarh,2011-04-01,34.36779259
Chandigarh,2011-07-01,174.3156436
Chandigarh,2011-10-01,48.83966745
Chandigarh,2012-01-01,39.00802888
Chandigarh,2012-04-01,13.00015868
Chandigarh,2012-07-01,141.0827645
Chandigarh,2012-10-01,56.38911227
Chandigarh,2013-01-01,72.89460876
Chandigarh,2013-04-01,24.11454711
Chandigarh,2013-07-01,137.6099601
Chandigarh,2013-10-01,54.58925561
Chandigarh,2014-01-01,70.41973759
Chandigarh,2014-04-01,33.22036917
Chandigarh,2014-07-01,99.85750741
Chandigarh,2014-10-01,41.71102771
Chandigarh,2015-01-01,74.07827011
Chandigarh,2015-04-01,23.79229452
Chandigarh,2015-07-01,112.0798058
Chandigarh,2015-10-01,40.43390099
Chandigarh,2016-01-01,35.11161716
Chandigarh,2016-04-01,16.11650987
Chandigarh,2016-07-01,133.9265627
Chandigarh,2016-10-01,38.04622218
Chandigarh,2017-01-01,62.80078897
Chandigarh,2017-04-01,24.40971126
Chandigarh,2017-07-01,134.2637789
Chandigarh,2017-10-01,44.80085765
Chandigarh,2018-01-01,53.27669786
Chandigarh,2018-04-01,30.14992616
Chandigarh,2018-07-01,163.9333044
Chandigarh,2018-10-01,56.68927493
Chandigarh,2019-01-01,61.53333502
Chandigarh,2019-04-01,26.37216905
Chandigarh,2019-07-01,158.65755280000002
Chandigarh,2019-10-01,65.10604691
Chandigarh,2020-01-01,81.65721238
Chandigarh,2020-04-01,59.97313699
Chandigarh,2020-07-01,146.039511
Chhattisgarh,2001-01-01,31.604132496111113
Chhattisgarh,2001-04-01,18.891955242166667
Chhattisgarh,2001-07-01,282.64603536111116
Chhattisgarh,2001-10-01,164.0123541388889
Chhattisgarh,2002-01-01,52.07166684500001
Chhattisgarh,2002-04-01,12.418592906499999
Chhattisgarh,2002-07-01,262.58451905
Chhattisgarh,2002-10-01,148.33109306666663
Chhattisgarh,2003-01-01,45.127147487777776
Chhattisgarh,2003-04-01,9.60106233511111
Chhattisgarh,2003-07-01,269.39093943333336
Chhattisgarh,2003-10-01,182.57413716111105
Chhattisgarh,2004-01-01,71.80235652888888
Chhattisgarh,2004-04-01,50.97052069888888
Chhattisgarh,2004-07-01,284.3059349833334
Chhattisgarh,2004-10-01,163.37017500555555
Chhattisgarh,2005-01-01,59.75112785611111
Chhattisgarh,2005-04-01,18.617405785166667
Chhattisgarh,2005-07-01,301.550738688889
Chhattisgarh,2005-10-01,164.29423647222222
Chhattisgarh,2006-01-01,54.188651503333325
Chhattisgarh,2006-04-01,41.80170099222224
Chhattisgarh,2006-07-01,311.06766169444444
Chhattisgarh,2006-10-01,167.4458745222222
Chhattisgarh,2007-01-01,54.93220734277777
Chhattisgarh,2007-04-01,19.82955926111111
Chhattisgarh,2007-07-01,256.0826416722223
Chhattisgarh,2007-10-01,166.5746336777778
Chhattisgarh,2008-01-01,64.93148428833334
Chhattisgarh,2008-04-01,15.261820778277777
Chhattisgarh,2008-07-01,300.21028053333333
Chhattisgarh,2008-10-01,156.78077105555556
Chhattisgarh,2009-01-01,48.22427635555557
Chhattisgarh,2009-04-01,18.151748232722227
Chhattisgarh,2009-07-01,290.2131952888888
Chhattisgarh,2009-10-01,175.03524034999998
Chhattisgarh,2010-01-01,52.887540518333346
Chhattisgarh,2010-04-01,14.746978903944445
Chhattisgarh,2010-07-01,321.72534261666664
Chhattisgarh,2010-10-01,192.6338065444444
Chhattisgarh,2011-01-01,67.21585334333334
Chhattisgarh,2011-04-01,26.90686023166667
Chhattisgarh,2011-07-01,319.35031446666665
Chhattisgarh,2011-10-01,157.69527732222227
Chhattisgarh,2012-01-01,44.70240638611112
Chhattisgarh,2012-04-01,19.03145412022222
Chhattisgarh,2012-07-01,317.50865387222234
Chhattisgarh,2012-10-01,173.0282206055556
Chhattisgarh,2013-01-01,62.51080017833332
Chhattisgarh,2013-04-01,25.927196844555553
Chhattisgarh,2013-07-01,283.67611803333324
Chhattisgarh,2013-10-01,177.8071667222222
Chhattisgarh,2014-01-01,78.32426223333333
Chhattisgarh,2014-04-01,21.493736208166666
Chhattisgarh,2014-07-01,308.7917213222222
Chhattisgarh,2014-10-01,161.79841255
Chhattisgarh,2015-01-01,65.32668071833334
Chhattisgarh,2015-04-01,23.012580278888887
Chhattisgarh,2015-07-01,297.0863429611111
Chhattisgarh,2015-10-01,156.3158310833333
Chhattisgarh,2016-01-01,39.69934993333332
Chhattisgarh,2016-04-01,16.324869840888894
Chhattisgarh,2016-07-01,260.83669116666664
Chhattisgarh,2016-10-01,175.53195115555556
Chhattisgarh,2017-01-01,51.263927687777766
Chhattisgarh,2017-04-01,13.70707819238889
Chhattisgarh,2017-07-01,291.0974632944445
Chhattisgarh,2017-10-01,175.15357808333334
Chhattisgarh,2018-01-01,47.929083558888884
Chhattisgarh,2018-04-01,27.624344724333334
Chhattisgarh,2018-07-01,312.1866845111111
Chhattisgarh,2018-10-01,155.19163350555556
Chhattisgarh,2019-01-01,60.05260219722223
Chhattisgarh,2019-04-01,15.307281448555557
Chhattisgarh,2019-07-01,249.7544469611111
Chhattisgarh,2019-10-01,194.74464162777775
Chhattisgarh,2020-01-01,115.29723907166665
Chhattisgarh,2020-04-01,26.13574098833333
Chhattisgarh,2020-07-01,260.8854640111111
Dadara & Nagar Havelli,2001-01-01,35.56278046
Dadara & Nagar Havelli,2001-04-01,46.62103798
Dadara & Nagar Havelli,2001-07-01,266.4598352
Dadara & Nagar Havelli,2001-10-01,123.0017968
Dadara & Nagar Havelli,2002-01-01,35.15422673
Dadara & Nagar Havelli,2002-04-01,53.79731862
Dadara & Nagar Havelli,2002-07-01,280.0806986
Dadara & Nagar Havelli,2002-10-01,81.79444394
Dadara & Nagar Havelli,2003-01-01,37.15937724
Dadara & Nagar Havelli,2003-04-01,45.85406466
Dadara & Nagar Havelli,2003-07-01,294.4712662
Dadara & Nagar Havelli,2003-10-01,122.37067320000001
Dadara & Nagar Havelli,2004-01-01,29.57143762
Dadara & Nagar Havelli,2004-04-01,73.28331486
Dadara & Nagar Havelli,2004-07-01,272.7703971
Dadara & Nagar Havelli,2004-10-01,124.47925409999999
Dadara & Nagar Havelli,2005-01-01,35.97933270000001
Dadara & Nagar Havelli,2005-04-01,57.79193133
Dadara & Nagar Havelli,2005-07-01,254.87522059999998
Dadara & Nagar Havelli,2005-10-01,120.23211770000002
Dadara & Nagar Havelli,2006-01-01,34.68333618
Dadara & Nagar Havelli,2006-04-01,67.94827771
Dadara & Nagar Havelli,2006-07-01,245.51444680000003
Dadara & Nagar Havelli,2006-10-01,128.43778989999998
Dadara & Nagar Havelli,2007-01-01,33.39785911
Dadara & Nagar Havelli,2007-04-01,59.03677943
Dadara & Nagar Havelli,2007-07-01,285.4431591
Dadara & Nagar Havelli,2007-10-01,118.02055959999998
Dadara & Nagar Havelli,2008-01-01,32.49977582
Dadara & Nagar Havelli,2008-04-01,52.42897661
Dadara & Nagar Havelli,2008-07-01,296.8569875
Dadara & Nagar Havelli,2008-10-01,106.71886740000001
Dadara & Nagar Havelli,2009-01-01,27.21078733
Dadara & Nagar Havelli,2009-04-01,46.63042678
Dadara & Nagar Havelli,2009-07-01,305.7427396
Dadara & Nagar Havelli,2009-10-01,132.10679840000003
Dadara & Nagar Havelli,2010-01-01,38.08087212
Dadara & Nagar Havelli,2010-04-01,55.79426146
Dadara & Nagar Havelli,2010-07-01,300.6225711
Dadara & Nagar Havelli,2010-10-01,154.5311281
Dadara & Nagar Havelli,2011-01-01,40.74010667
Dadara & Nagar Havelli,2011-04-01,57.92000263
