ST_NM,date,aod
Bihar,1/1/2011,1170.187176
Bihar,4/1/2011,624.3236524
Bihar,7/1/2011,1164.712808
Bihar,10/1/2011,893.3733121
Bihar,1/1/2012,917.9392621
Bihar,4/1/2012,489.1457373
Bihar,7/1/2012,702.4191527
Bihar,10/1/2012,550.1377387
Bihar,1/1/2013,1149.172486
Bihar,4/1/2013,562.773397
Bihar,7/1/2013,576.3013794
Bihar,10/1/2013,795.0366992
Bihar,1/1/2014,1117.332579
Bihar,4/1/2014,509.6969504
Bihar,7/1/2014,713.3894205
Bihar,10/1/2014,689.729221
Bihar,1/1/2015,908.4563327
Bihar,4/1/2015,622.5175589
Bihar,7/1/2015,774.5138161
Bihar,10/1/2015,660.5795788
Bihar,1/1/2016,1332.800356
Bihar,4/1/2016,543.6794352
Bihar,7/1/2016,817.487723
Bihar,10/1/2016,729.4860731
Bihar,1/1/2017,850.5177725
Bihar,4/1/2017,695.9870235
Bihar,7/1/2017,470.3326342
Bihar,10/1/2017,799.61905
Bihar,1/1/2018,1252.468709
Bihar,4/1/2018,651.6283618
Bihar,7/1/2018,577.0726391
Bihar,10/1/2018,645.7655124
Bihar,1/1/2019,959.1171455
Bihar,4/1/2019,643.7734247
Bihar,7/1/2019,1136.365265
Bihar,10/1/2019,1063.71423
Chandigarh,4/1/2000,358.8991819
Chandigarh,7/1/2000,928.2781781
Chandigarh,10/1/2000,577.8567446
Chandigarh,1/1/2001,446.0111397
Chandigarh,4/1/2001,352.4953421
Chandigarh,7/1/2001,1027.760804
Chandigarh,10/1/2001,751.478341
Chandigarh,1/1/2002,444.206947
Chandigarh,4/1/2002,479.5710018
Chandigarh,7/1/2002,1378.807878
Chandigarh,10/1/2002,593.0235611
Chandigarh,1/1/2003,633.4144398
Chandigarh,4/1/2003,431.4800816
Chandigarh,7/1/2003,876.658259
Chandigarh,10/1/2003,491.2227396
Chandigarh,1/1/2004,463.1882854
Chandigarh,4/1/2004,653.1300614
Chandigarh,7/1/2004,879.1884902
Chandigarh,10/1/2004,621.8207768
Chandigarh,1/1/2005,367.8133687
Chandigarh,4/1/2005,481.8798826
Chandigarh,7/1/2005,787.1901132
Chandigarh,10/1/2005,666.2589207
Chandigarh,1/1/2006,320.4471011
Chandigarh,4/1/2006,472.8725864
Chandigarh,7/1/2006,652.1661965
Chandigarh,10/1/2006,606.2271254
Chandigarh,1/1/2007,475.6961641
Chandigarh,4/1/2007,447.4574587
Chandigarh,7/1/2007,430.8689794
Chandigarh,10/1/2007,387.6256265
Chandigarh,1/1/2008,447.1887316
Chandigarh,4/1/2008,406.6334981
Chandigarh,7/1/2008,589.5320862
Chandigarh,10/1/2008,649.5329177
Chandigarh,1/1/2009,629.1958574
Chandigarh,4/1/2009,385.8813276
Chandigarh,7/1/2009,637.2581889
Chandigarh,10/1/2009,358.3231536
Chandigarh,1/1/2010,576.2179252
Chandigarh,4/1/2010,416.4621338
Chandigarh,7/1/2010,912.9929006
Chandigarh,10/1/2010,600.0297737
Chandigarh,1/1/2011,456.9216918
Chandigarh,4/1/2011,433.9760655
Chandigarh,7/1/2011,803.7635722
Chandigarh,10/1/2011,540.7109003
Chandigarh,1/1/2012,529.4835227
Chandigarh,4/1/2012,373.1363822
Chandigarh,7/1/2012,1098.732194
Chandigarh,10/1/2012,408.6568457
Chandigarh,1/1/2013,444.5160682
Chandigarh,4/1/2013,431.0067629
Chandigarh,7/1/2013,607.035391
Chandigarh,10/1/2013,705.1066378
Chandigarh,1/1/2014,544.8333689
Chandigarh,4/1/2014,326.1102128
Chandigarh,7/1/2014,1213.043716
Chandigarh,10/1/2014,708.9107979
Chandigarh,1/1/2015,484.6208325
Chandigarh,4/1/2015,444.2109466
Chandigarh,7/1/2015,688.0767296
Chandigarh,10/1/2015,718.8665944
Chandigarh,1/1/2016,777.6945379
Chandigarh,4/1/2016,377.7486144
Chandigarh,7/1/2016,852.7261204
Chandigarh,10/1/2016,722.0327396
Chandigarh,1/1/2017,407.662946
Chandigarh,4/1/2017,445.5910658
Chandigarh,7/1/2017,1274.429676
Chandigarh,10/1/2017,718.4794636
Chandigarh,1/1/2018,486.1396972
Chandigarh,4/1/2018,524.496163
Chandigarh,7/1/2018,846.9058697
Chandigarh,10/1/2018,422.2841242
Chandigarh,1/1/2019,462.8249392
Chandigarh,4/1/2019,371.0833921
Chandigarh,7/1/2019,1049.832277
Chandigarh,10/1/2019,875.0781444
Chhattisgarh,4/1/2000,653.7474212
Chhattisgarh,7/1/2000,493.3614852
Chhattisgarh,10/1/2000,366.7490058
Chhattisgarh,1/1/2001,396.6977232
Chhattisgarh,4/1/2001,433.2317261
Chhattisgarh,7/1/2001,706.9334661
Chhattisgarh,10/1/2001,400.3707627
Chhattisgarh,1/1/2002,365.1059083
Chhattisgarh,4/1/2002,553.0989375
Chhattisgarh,7/1/2002,727.4210202
Chhattisgarh,10/1/2002,340.1557541
Chhattisgarh,1/1/2003,386.1453023
Chhattisgarh,4/1/2003,545.2015285
Chhattisgarh,7/1/2003,432.5407321
Chhattisgarh,10/1/2003,351.6279179
Chhattisgarh,1/1/2004,361.7174221
Chhattisgarh,4/1/2004,557.3368892
