date,Ward_No,mean
12/15/2019,23,-1.139045176
12/15/2019,24,-1.140786504
12/16/2019,12,-1.487920883
12/16/2019,13,-1.456573023
12/16/2019,14,-1.437536255
12/16/2019,15,-1.624587549
12/16/2019,16,-1.482590026
12/16/2019,17,-1.478728164
12/16/2019,18,-1.351282546
12/16/2019,19,-1.3243437
12/16/2019,20,-1.420278952
12/16/2019,21,-1.507675597
12/16/2019,1,-1.596574805
12/16/2019,2,-1.517933559
12/16/2019,3,-1.511511922
12/16/2019,4,-1.548108424
12/16/2019,5,-1.520740855
12/16/2019,6,-1.503746551
12/16/2019,7,-1.515516496
12/16/2019,8,-1.447879392
12/16/2019,9,-1.409609247
12/16/2019,10,-1.39445974
12/16/2019,11,-1.596305304
12/16/2019,22,-1.398642218
12/16/2019,23,-1.393898222
12/16/2019,24,-1.337864197
12/17/2019,12,-1.613230875
12/17/2019,13,-1.708157936
12/17/2019,14,-1.38461693
12/17/2019,15,-1.618920407
12/17/2019,16,-1.554827208
12/17/2019,17,-1.455238518
12/17/2019,18,-1.322616092
12/17/2019,19,-1.301249769
12/17/2019,20,-1.529853384
12/17/2019,21,-1.553681955
12/17/2019,1,-1.48335751
12/17/2019,2,-1.481602996
12/17/2019,3,-1.446168944
12/17/2019,4,-1.465979391
12/17/2019,5,-1.454978686
12/17/2019,6,-1.482731224
12/17/2019,7,-1.43454764
12/17/2019,8,-1.443774373
12/17/2019,9,-1.405747546
12/17/2019,10,-1.532098205
12/17/2019,11,-1.705063023
12/17/2019,22,-1.583374808
12/17/2019,23,-1.367222865
12/17/2019,24,-1.375641378
12/18/2019,12,-1.58498356
12/18/2019,13,-1.684172296
12/18/2019,14,-1.253932327
12/18/2019,15,-1.620735855
12/18/2019,16,-1.450033774
12/18/2019,17,-1.457773325
12/18/2019,18,-1.150746466
12/18/2019,19,-1.408342893
12/18/2019,20,-1.528337044
12/18/2019,21,-1.440759706
12/18/2019,1,-1.424693045
12/18/2019,2,-1.433382422
12/18/2019,3,-1.422180733
12/18/2019,4,-1.36947473
12/18/2019,5,-1.392884811
12/18/2019,6,-1.412550658
12/18/2019,7,-1.341426744
12/18/2019,8,-1.330455146
12/18/2019,9,-1.182056944
12/18/2019,10,-1.435819251
12/18/2019,11,-1.620279054
12/18/2019,22,-1.561694333
12/18/2019,23,-1.13298646
12/18/2019,24,-1.377641879
12/19/2019,12,-0.949923515
12/19/2019,13,-1.025606957
12/19/2019,14,-0.773005581
12/19/2019,15,-1.009943691
12/19/2019,16,-0.795753135
12/19/2019,17,-0.73998152
12/19/2019,18,-0.733625317
12/19/2019,19,-0.74882242
12/19/2019,20,-0.808103468
12/19/2019,21,-0.865383459
12/19/2019,1,-0.577045841
12/19/2019,2,-0.65274578
12/19/2019,3,-0.589857263
12/19/2019,4,-0.555329531
12/19/2019,5,-0.705468964
12/19/2019,6,-0.745276825
12/19/2019,7,-0.713803333
12/19/2019,8,-0.744844772
12/19/2019,9,-0.737500485
12/19/2019,10,-0.856448895
12/19/2019,11,-0.950846706
12/19/2019,22,-0.950989502
12/19/2019,23,-0.73521831
12/19/2019,24,-0.755009094
12/20/2019,12,-0.201431183
12/20/2019,13,-0.324497586
12/20/2019,14,-0.279467207
12/20/2019,15,-0.276606772
12/20/2019,16,-0.488545635
12/20/2019,17,-0.450086159
12/20/2019,18,-0.174695992
12/20/2019,19,-0.2242979
12/20/2019,20,-0.347405097
12/20/2019,21,-0.445591146
12/20/2019,1,-0.358467322
12/20/2019,2,-0.302122244
12/20/2019,3,-0.328102199
12/20/2019,4,-0.283642203
12/20/2019,5,-0.266620249
12/20/2019,6,-0.250045748
12/20/2019,7,-0.249443951
12/20/2019,8,-0.235276035
12/20/2019,9,-0.220806322
12/20/2019,10,-0.232893093
12/20/2019,11,-0.487842507
12/20/2019,22,-0.408720764
12/20/2019,23,-0.180751471
12/20/2019,24,-0.222709011
12/21/2019,12,-0.748464685
12/21/2019,13,-1.090858453
12/21/2019,14,-0.976910661
12/21/2019,15,-1.245353859
12/21/2019,16,-0.743217047
12/21/2019,17,-0.805734928
12/21/2019,18,-0.872789852
12/21/2019,19,-0.85897254
12/21/2019,20,-1.058654798
12/21/2019,21,-1.114534625
12/21/2019,1,-0.618326944
12/21/2019,2,-0.762823025
12/21/2019,3,-0.763365209
12/21/2019,4,-0.758969481
12/21/2019,5,-0.782417166
12/21/2019,6,-0.898176712
12/21/2019,7,-0.91945168
12/21/2019,8,-0.896632497
12/21/2019,9,-0.889521462
12/21/2019,10,-0.673137517
12/21/2019,11,-1.199855099
12/21/2019,22,-1.209874158
12/21/2019,23,-0.884564724
12/21/2019,24,-0.7554405
12/22/2019,12,-1.703357551
12/22/2019,13,-1.816066396
12/22/2019,14,-1.665997241
12/22/2019,15,-1.756897931
12/22/2019,16,-1.684994588
12/22/2019,17,-1.653320013
12/22/2019,18,-1.561034657
12/22/2019,19,-1.641670261
12/22/2019,20,-1.673743138
12/22/2019,21,-1.715586573
12/22/2019,1,-1.722304436
12/22/2019,2,-1.711309616
12/22/2019,3,-1.754215911
12/22/2019,4,-1.753786381
12/22/2019,5,-1.709063768
12/22/2019,6,-1.669244999
12/22/2019,7,-1.668508872
12/22/2019,8,-1.674793431
12/22/2019,9,-1.628318219
12/22/2019,10,-1.710379351
12/22/2019,11,-1.787604602
