date,Ward_No,mean
8/5/2018,22,-1.201214093
8/5/2018,23,-0.580475837
8/5/2018,24,-0.47693580799999996
8/6/2018,12,0.274616988
8/6/2018,13,0.28226065899999997
8/6/2018,14,0.483804291
8/6/2018,15,0.558701279
8/6/2018,16,0.25733422
8/6/2018,17,0.355972104
8/6/2018,18,0.46723443600000003
8/6/2018,19,0.46354097899999996
8/6/2018,20,0.441865999
8/6/2018,21,0.472135232
8/6/2018,1,0.36021227
8/6/2018,2,0.230980343
8/6/2018,3,0.276688814
8/6/2018,4,0.285004604
8/6/2018,5,0.246971301
8/6/2018,6,0.274537676
8/6/2018,7,0.40475710600000003
8/6/2018,8,0.290685693
8/6/2018,9,0.31812225
8/6/2018,10,0.5645883829999999
8/6/2018,11,0.44509312100000004
8/6/2018,22,0.39828050600000003
8/6/2018,23,0.45983807
8/6/2018,24,0.463024263
8/7/2018,12,-0.046792084000000005
8/7/2018,13,0.155302284
8/7/2018,14,-0.125853149
8/7/2018,15,0.174104962
8/7/2018,16,0.016681994
8/7/2018,17,-0.15533255599999998
8/7/2018,18,-0.167860344
8/7/2018,19,-0.127019496
8/7/2018,20,0.30145088
8/7/2018,21,0.08774937
8/7/2018,1,0.34185522100000004
8/7/2018,2,0.23674056699999999
8/7/2018,3,0.297725588
8/7/2018,4,0.162881257
8/7/2018,5,0.206814479
8/7/2018,6,-0.092271718
8/7/2018,7,-0.02304499
8/7/2018,8,-0.116823556
8/7/2018,9,-0.134420135
8/7/2018,10,-0.05090602
8/7/2018,11,0.126770294
8/7/2018,22,0.217108705
8/7/2018,23,-0.200829614
8/7/2018,24,-0.182986335
8/8/2018,12,0.003982578
8/8/2018,13,0.392292452
8/8/2018,14,0.822523742
8/8/2018,15,-0.41849732799999995
8/8/2018,16,-0.262160563
8/8/2018,17,-0.17282040699999998
8/8/2018,18,0.005756616
8/8/2018,19,0.474831004
8/8/2018,20,0.668330675
8/8/2018,21,0.7054997159999999
8/8/2018,1,-0.053207374
8/8/2018,2,0.057985142
8/8/2018,3,0.000377
8/8/2018,4,0.080310203
8/8/2018,5,0.121135332
8/8/2018,6,0.08493527199999999
8/8/2018,7,0.136965381
8/8/2018,8,-0.039286173
8/8/2018,9,0.075713095
8/8/2018,10,-0.500342386
8/8/2018,11,0.267749909
8/8/2018,22,0.893977529
8/8/2018,23,0.10441082300000001
8/8/2018,24,-0.064197587
8/12/2018,12,-0.429818915
8/12/2018,13,-0.20187126100000002
8/12/2018,14,0.17931438600000002
8/12/2018,15,0.237535427
8/12/2018,16,0.47315894299999994
8/12/2018,17,0.5668606629999999
8/12/2018,18,0.641860832
8/12/2018,19,0.603506974
8/12/2018,20,0.041548704
8/12/2018,21,-0.36667428700000004
8/12/2018,1,-1.129036572
8/12/2018,2,-1.020004593
8/12/2018,3,-1.0295477309999999
8/12/2018,4,-1.029914102
8/12/2018,5,-1.019023299
8/12/2018,6,-0.6343552729999999
8/12/2018,7,-0.786973715
8/12/2018,8,0.583538538
8/12/2018,9,0.218100932
8/12/2018,10,0.031119114
8/12/2018,11,-0.08193244599999999
8/12/2018,22,0.042798736
8/12/2018,23,0.127253734
8/12/2018,24,0.347747921
8/13/2018,12,-0.179121878
8/13/2018,13,-0.036707784
8/13/2018,14,0.21683302399999999
8/13/2018,15,0.702699482
8/13/2018,16,-0.066769573
8/13/2018,17,-0.039331531
8/13/2018,18,0.09724877900000001
8/13/2018,19,0.09574835400000001
8/13/2018,20,0.360376085
8/13/2018,21,0.022123413999999997
8/13/2018,1,-0.012824796999999999
8/13/2018,2,-0.120487618
8/13/2018,3,-0.206624488
8/13/2018,4,-0.205535537
8/13/2018,5,-0.11854649999999999
8/13/2018,6,0.005877669
8/13/2018,7,0.020916496
8/13/2018,8,-0.02604549
8/13/2018,9,0.068694648
8/13/2018,10,-0.08814530300000001
8/13/2018,11,0.251264974
8/13/2018,22,0.37918108100000003
8/13/2018,23,0.42090262799999995
8/13/2018,24,0.011088435
8/14/2018,12,3.44963391
8/14/2018,13,4.123037639
8/14/2018,14,4.051158165
8/14/2018,15,3.648970282
8/14/2018,16,3.544334983
8/14/2018,17,3.312584458
8/14/2018,18,3.4886642689999996
8/14/2018,19,3.7380546530000003
8/14/2018,20,4.240091063
8/14/2018,21,4.221076755
8/14/2018,1,3.049340804
8/14/2018,2,3.200763235
8/14/2018,3,3.1581448969999997
8/14/2018,4,3.126992342
8/14/2018,5,3.196218767
8/14/2018,6,3.157199723
8/14/2018,7,3.1081335119999998
8/14/2018,8,3.2399507310000004
8/14/2018,9,3.130275407
