date,mean,Ward_No
8/16/2018,-1.50878858,19
8/16/2018,-1.240635249,20
8/16/2018,-1.324854493,21
8/16/2018,-1.211608948,22
8/16/2018,-0.993351562,23
8/16/2018,-1.01227903,24
8/16/2018,-0.993144999,25
8/16/2018,-0.993373207,26
8/16/2018,-1.125403843,27
8/16/2018,-1.056533768,28
8/16/2018,-1.612277154,29
8/16/2018,-1.565612541,30
8/16/2018,-1.558700477,31
8/16/2018,-1.551441324,32
8/16/2018,-1.554631156,33
8/16/2018,-1.554602265,34
8/16/2018,-1.002305883,35
8/16/2018,-1.324843031,36
8/16/2018,-1.14068835,37
8/16/2018,-1.523404837,38
8/16/2018,-0.993143976,39
8/16/2018,-0.993156631,40
8/16/2018,-0.995454251,41
8/16/2018,-1.051491436,42
8/16/2018,-1.46222226,43
8/16/2018,-1.473273868,44
8/16/2018,-1.463973568,45
8/16/2018,-1.382681118,46
8/16/2018,-1.385488768,47
8/16/2018,-1.377790914,48
8/17/2018,-1.407513726,49
8/17/2018,-1.733805408,50
8/17/2018,-1.877412067,51
8/17/2018,-1.780414417,52
8/17/2018,-1.796322361,53
8/17/2018,-1.735872464,54
8/17/2018,-1.723011329,55
8/17/2018,-1.715391605,56
8/17/2018,-1.73312631,57
8/17/2018,-1.74484428,58
8/17/2018,-1.749735473,59
8/17/2018,-1.749735556,60
8/17/2018,-1.291891098,61
8/17/2018,-1.291891098,62
8/17/2018,-1.725871722,63
8/17/2018,-1.727256703,64
8/17/2018,-1.719215775,65
8/17/2018,-1.7951706,66
8/17/2018,-1.763371071,67
8/17/2018,-1.619601544,1
8/17/2018,-1.648348103,2
8/17/2018,-1.733699799,3
8/17/2018,-1.735036315,4
8/17/2018,-1.344516534,5
8/17/2018,-1.291891098,6
8/17/2018,-1.291891098,7
8/17/2018,-1.649028722,8
8/17/2018,-1.515610785,9
8/17/2018,-1.77715678,10
8/17/2018,-1.718153415,11
8/17/2018,-1.384250806,12
8/17/2018,-1.306650628,13
8/17/2018,-1.732046319,14
8/17/2018,-1.361680483,15
8/17/2018,-1.748111726,16
8/17/2018,-1.74823736,17
8/17/2018,-1.740797861,18
8/17/2018,-1.738601848,19
8/17/2018,-1.733917419,20
8/17/2018,-1.729444592,21
8/17/2018,-1.733699799,22
8/17/2018,-1.733699799,23
8/17/2018,-1.733699799,24
8/17/2018,-1.732765092,25
8/17/2018,-1.733699799,26
8/17/2018,-1.762057405,27
8/17/2018,-1.736390442,28
8/17/2018,-1.749735475,29
8/17/2018,-1.749732816,30
8/17/2018,-1.749725751,31
8/17/2018,-1.743378018,32
8/17/2018,-1.748190007,33
8/17/2018,-1.742537048,34
8/17/2018,-1.733617855,35
8/17/2018,-1.309234661,36
8/17/2018,-1.733289989,37
8/17/2018,-1.740238947,38
8/17/2018,-1.733699799,39
8/17/2018,-1.733699799,40
8/17/2018,-1.733699784,41
8/17/2018,-1.733699731,42
8/17/2018,-1.828449039,43
8/17/2018,-1.780409656,44
8/17/2018,-1.765537589,45
8/17/2018,-1.735830008,46
8/17/2018,-1.645506471,47
8/17/2018,-1.363597575,48
8/18/2018,-1.693406717,49
8/18/2018,-1.620059749,50
8/18/2018,-1.830769217,51
8/18/2018,-1.977889299,52
8/18/2018,-1.977479961,53
8/18/2018,-1.971925005,54
8/18/2018,-1.819926933,55
8/18/2018,-1.808707031,56
8/18/2018,-1.882558044,57
8/18/2018,-1.691814994,58
8/18/2018,-1.393903032,59
8/18/2018,-1.311434627,60
8/18/2018,-1.574969411,61
8/18/2018,-1.574969411,62
8/18/2018,-1.838727219,63
8/18/2018,-1.886203661,64
8/18/2018,-1.816117593,65
8/18/2018,-1.977889299,66
8/18/2018,-1.973168475,67
8/18/2018,-1.568227362,1
8/18/2018,-1.964503542,2
8/18/2018,-1.977889299,3
8/18/2018,-1.948424468,4
8/18/2018,-1.574853035,5
8/18/2018,-1.574969411,6
8/18/2018,-1.574969411,7
8/18/2018,-1.973770949,8
8/18/2018,-1.76398284,9
8/18/2018,-1.661513021,10
8/18/2018,-1.913891163,11
8/18/2018,-1.91339754,12
8/18/2018,-1.844080671,13
8/18/2018,-1.9599611,14
8/18/2018,-1.735535032,15
8/18/2018,-1.900103157,16
8/18/2018,-1.955592411,17
8/18/2018,-1.977889299,18
8/18/2018,-1.977889299,19
8/18/2018,-1.977889299,20
8/18/2018,-1.977889299,21
8/18/2018,-1.977889299,22
8/18/2018,-1.977889299,23
8/18/2018,-1.977889299,24
8/18/2018,-1.977889299,25
8/18/2018,-1.977889299,26
8/18/2018,-1.977889299,27
8/18/2018,-1.977889299,28
8/18/2018,-1.313708552,29
8/18/2018,-1.428716978,30
8/18/2018,-1.581873238,31
8/18/2018,-1.947855889,32
8/18/2018,-1.861081907,33
8/18/2018,-1.977889299,34
8/18/2018,-1.932935937,35
8/18/2018,-1.710433279,36
8/18/2018,-1.969481736,37
8/18/2018,-1.977889299,38
8/18/2018,-1.977889299,39
8/18/2018,-1.977889299,40
8/18/2018,-1.97272627,41
8/18/2018,-1.977889299,42
8/18/2018,-1.41585169,43
8/18/2018,-1.399215945,44
8/18/2018,-1.433678823,45
8/18/2018,-1.547164898,46
8/18/2018,-1.561898522,47
8/18/2018,-1.574967392,48
8/19/2018,-0.056339594,49
8/19/2018,-0.046022478,50
8/19/2018,-0.031272177,51
8/19/2018,-0.057130555,52
8/19/2018,-0.204454929,53
8/19/2018,-0.181459493,54
8/19/2018,-0.204454929,55
8/19/2018,-0.204454929,56
8/19/2018,-0.172036747,57
8/19/2018,-0.065259208,58
8/19/2018,0.009922633,59
8/19/2018,0.01376485,60
8/19/2018,-0.211028188,61
8/19/2018,-0.211028188,62
8/19/2018,-0.204454929,63
8/19/2018,-0.204454929,64
8/19/2018,-0.204454929,65
8/19/2018,-0.188925908,66
8/19/2018,-0.165427639,67
8/19/2018,-0.211028188,1
8/19/2018,-0.030560819,2
8/19/2018,-0.030560819,3
8/19/2018,-0.13330297,4
8/19/2018,-0.211028188,5
8/19/2018,-0.211028188,6
8/19/2018,-0.168557124,7
8/19/2018,-0.030560819,8
8/19/2018,-0.082091823,9
8/19/2018,-0.080736507,10
8/19/2018,-0.032437877,11
8/19/2018,-0.030560819,12
8/19/2018,-0.030693133,13
8/19/2018,-0.030560819,14
8/19/2018,-0.052192125,15
8/19/2018,-0.027161381,16
8/19/2018,-0.030514527,17
8/19/2018,-0.030560819,18
8/19/2018,-0.030560819,19
8/19/2018,-0.03214444,20
8/19/2018,-0.030560819,21
8/19/2018,-0.030560819,22
8/19/2018,-0.030560819,23
8/19/2018,-0.030560819,24
8/19/2018,-0.030560819,25
8/19/2018,-0.030560819,26
8/19/2018,-0.067567987,27
8/19/2018,-0.036079387,28
8/19/2018,0.013336156,29
8/19/2018,-0.001924569,30
8/19/2018,-0.005973216,31
8/19/2018,-0.029490547,32
8/19/2018,-0.023208089,33
8/19/2018,-0.046145456,34
8/19/2018,-0.174902026,35
8/19/2018,-0.040437507,36
8/19/2018,-0.139288176,37
8/19/2018,-0.030555439,38
8/19/2018,-0.030560819,39
8/19/2018,-0.030560819,40
8/19/2018,-0.128639279,41
8/19/2018,-0.109914374,42
8/19/2018,0.027285137,43
8/19/2018,0.010791778,44
8/19/2018,-0.022878706,45
8/19/2018,-0.203814497,46
8/19/2018,-0.211028188,47
8/19/2018,-0.211028188,48
8/20/2018,-0.237274921,49
8/20/2018,-0.238205224,50
8/20/2018,-0.242277288,51
8/20/2018,-0.28235788,52
8/20/2018,-0.34115991,53
8/20/2018,-0.340645252,54
8/20/2018,-0.346873403,55
8/20/2018,-0.346408361,56
8/20/2018,-0.346873403,57
8/20/2018,-0.328916122,58
8/20/2018,-0.232932016,59
8/20/2018,-0.245539421,60
